"Notes"	"County"	"County Code"	"Multiple Cause of death"	"Multiple Cause of death Code"	Deaths	Population	Crude Rate
	"Covington County, AL"	"01039"	"Other synthetic narcotics"	"T40.4"	Suppressed	452228	Suppressed
	"Crenshaw County, AL"	"01041"	"Heroin"	"T40.1"	Suppressed	167392	Suppressed
	"Crenshaw County, AL"	"01041"	"Other opioids"	"T40.2"	Suppressed	167392	Suppressed
	"Crenshaw County, AL"	"01041"	"Methadone"	"T40.3"	Suppressed	167392	Suppressed
	"Crenshaw County, AL"	"01041"	"Other synthetic narcotics"	"T40.4"	Suppressed	167392	Suppressed
	"Cullman County, AL"	"01043"	"Heroin"	"T40.1"	14	969957	Unreliable
	"Cullman County, AL"	"01043"	"Other opioids"	"T40.2"	11	969957	Unreliable
	"Cullman County, AL"	"01043"	"Methadone"	"T40.3"	Suppressed	969957	Suppressed
	"Cullman County, AL"	"01043"	"Other synthetic narcotics"	"T40.4"	Suppressed	969957	Suppressed
	"Dale County, AL"	"01045"	"Heroin"	"T40.1"	Suppressed	596414	Suppressed
	"Dale County, AL"	"01045"	"Other opioids"	"T40.2"	Suppressed	596414	Suppressed
	"Dale County, AL"	"01045"	"Methadone"	"T40.3"	Suppressed	596414	Suppressed
	"Dale County, AL"	"01045"	"Other synthetic narcotics"	"T40.4"	Suppressed	596414	Suppressed
	"Dallas County, AL"	"01047"	"Heroin"	"T40.1"	Suppressed	510618	Suppressed
	"Dallas County, AL"	"01047"	"Other opioids"	"T40.2"	Suppressed	510618	Suppressed
	"Dallas County, AL"	"01047"	"Methadone"	"T40.3"	Suppressed	510618	Suppressed
	"Dallas County, AL"	"01047"	"Other synthetic narcotics"	"T40.4"	Suppressed	510618	Suppressed
	"DeKalb County, AL"	"01049"	"Heroin"	"T40.1"	Suppressed	848326	Suppressed
	"DeKalb County, AL"	"01049"	"Other opioids"	"T40.2"	21	848326	2.5
	"DeKalb County, AL"	"01049"	"Methadone"	"T40.3"	11	848326	Unreliable
	"DeKalb County, AL"	"01049"	"Other synthetic narcotics"	"T40.4"	Suppressed	848326	Suppressed
	"Elmore County, AL"	"01051"	"Heroin"	"T40.1"	Suppressed	955617	Suppressed
	"Elmore County, AL"	"01051"	"Other opioids"	"T40.2"	Suppressed	955617	Suppressed
	"Elmore County, AL"	"01051"	"Methadone"	"T40.3"	Suppressed	955617	Suppressed
	"Elmore County, AL"	"01051"	"Other synthetic narcotics"	"T40.4"	Suppressed	955617	Suppressed
	"Escambia County, AL"	"01053"	"Heroin"	"T40.1"	Suppressed	454778	Suppressed
	"Escambia County, AL"	"01053"	"Other opioids"	"T40.2"	37	454778	8.1
	"Escambia County, AL"	"01053"	"Methadone"	"T40.3"	18	454778	Unreliable
	"Escambia County, AL"	"01053"	"Other synthetic narcotics"	"T40.4"	10	454778	Unreliable
	"Etowah County, AL"	"01055"	"Heroin"	"T40.1"	Suppressed	1244829	Suppressed
	"Etowah County, AL"	"01055"	"Other opioids"	"T40.2"	20	1244829	1.6
	"Etowah County, AL"	"01055"	"Methadone"	"T40.3"	10	1244829	Unreliable
	"Etowah County, AL"	"01055"	"Other synthetic narcotics"	"T40.4"	21	1244829	1.7
	"Fayette County, AL"	"01057"	"Heroin"	"T40.1"	Suppressed	205103	Suppressed
	"Fayette County, AL"	"01057"	"Other opioids"	"T40.2"	Suppressed	205103	Suppressed
	"Fayette County, AL"	"01057"	"Methadone"	"T40.3"	Suppressed	205103	Suppressed
	"Fayette County, AL"	"01057"	"Other synthetic narcotics"	"T40.4"	Suppressed	205103	Suppressed
	"Franklin County, AL"	"01059"	"Heroin"	"T40.1"	Suppressed	378487	Suppressed
	"Franklin County, AL"	"01059"	"Other opioids"	"T40.2"	Suppressed	378487	Suppressed
	"Franklin County, AL"	"01059"	"Methadone"	"T40.3"	Suppressed	378487	Suppressed
	"Franklin County, AL"	"01059"	"Other synthetic narcotics"	"T40.4"	Suppressed	378487	Suppressed
	"Geneva County, AL"	"01061"	"Heroin"	"T40.1"	Suppressed	319645	Suppressed
	"Geneva County, AL"	"01061"	"Other opioids"	"T40.2"	Suppressed	319645	Suppressed
	"Geneva County, AL"	"01061"	"Methadone"	"T40.3"	Suppressed	319645	Suppressed
	"Geneva County, AL"	"01061"	"Other synthetic narcotics"	"T40.4"	Suppressed	319645	Suppressed
	"Greene County, AL"	"01063"	"Heroin"	"T40.1"	Suppressed	106657	Suppressed
	"Greene County, AL"	"01063"	"Other opioids"	"T40.2"	Suppressed	106657	Suppressed
	"Greene County, AL"	"01063"	"Methadone"	"T40.3"	Suppressed	106657	Suppressed
	"Greene County, AL"	"01063"	"Other synthetic narcotics"	"T40.4"	Suppressed	106657	Suppressed
	"Hale County, AL"	"01065"	"Heroin"	"T40.1"	Suppressed	187121	Suppressed
	"Hale County, AL"	"01065"	"Other opioids"	"T40.2"	Suppressed	187121	Suppressed
	"Hale County, AL"	"01065"	"Methadone"	"T40.3"	Suppressed	187121	Suppressed
	"Hale County, AL"	"01065"	"Other synthetic narcotics"	"T40.4"	Suppressed	187121	Suppressed
	"Henry County, AL"	"01067"	"Heroin"	"T40.1"	Suppressed	206452	Suppressed
	"Henry County, AL"	"01067"	"Other opioids"	"T40.2"	Suppressed	206452	Suppressed
	"Henry County, AL"	"01067"	"Methadone"	"T40.3"	Suppressed	206452	Suppressed
	"Henry County, AL"	"01067"	"Other synthetic narcotics"	"T40.4"	Suppressed	206452	Suppressed
	"Houston County, AL"	"01069"	"Heroin"	"T40.1"	Suppressed	1221010	Suppressed
	"Houston County, AL"	"01069"	"Other opioids"	"T40.2"	12	1221010	Unreliable
	"Houston County, AL"	"01069"	"Methadone"	"T40.3"	10	1221010	Unreliable
	"Houston County, AL"	"01069"	"Other synthetic narcotics"	"T40.4"	Suppressed	1221010	Suppressed
	"Jackson County, AL"	"01071"	"Heroin"	"T40.1"	Suppressed	635421	Suppressed
	"Jackson County, AL"	"01071"	"Other opioids"	"T40.2"	Suppressed	635421	Suppressed
	"Jackson County, AL"	"01071"	"Methadone"	"T40.3"	Suppressed	635421	Suppressed
	"Jackson County, AL"	"01071"	"Other synthetic narcotics"	"T40.4"	Suppressed	635421	Suppressed
	"Jefferson County, AL"	"01073"	"Heroin"	"T40.1"	408	7902770	5.2
	"Jefferson County, AL"	"01073"	"Other opioids"	"T40.2"	287	7902770	3.6
	"Jefferson County, AL"	"01073"	"Methadone"	"T40.3"	180	7902770	2.3
	"Jefferson County, AL"	"01073"	"Other synthetic narcotics"	"T40.4"	297	7902770	3.8
	"Lamar County, AL"	"01075"	"Heroin"	"T40.1"	Suppressed	172411	Suppressed
	"Lamar County, AL"	"01075"	"Other opioids"	"T40.2"	Suppressed	172411	Suppressed
	"Lamar County, AL"	"01075"	"Methadone"	"T40.3"	Suppressed	172411	Suppressed
	"Lamar County, AL"	"01075"	"Other synthetic narcotics"	"T40.4"	Suppressed	172411	Suppressed
	"Lauderdale County, AL"	"01077"	"Heroin"	"T40.1"	Suppressed	1107506	Suppressed
	"Lauderdale County, AL"	"01077"	"Other opioids"	"T40.2"	10	1107506	Unreliable
	"Lauderdale County, AL"	"01077"	"Methadone"	"T40.3"	Suppressed	1107506	Suppressed
	"Lauderdale County, AL"	"01077"	"Other synthetic narcotics"	"T40.4"	Suppressed	1107506	Suppressed
	"Lawrence County, AL"	"01079"	"Heroin"	"T40.1"	Suppressed	405598	Suppressed
	"Lawrence County, AL"	"01079"	"Other opioids"	"T40.2"	Suppressed	405598	Suppressed
	"Lawrence County, AL"	"01079"	"Methadone"	"T40.3"	Suppressed	405598	Suppressed
	"Lawrence County, AL"	"01079"	"Other synthetic narcotics"	"T40.4"	Suppressed	405598	Suppressed
	"Lee County, AL"	"01081"	"Heroin"	"T40.1"	Suppressed	1748019	Suppressed
	"Lee County, AL"	"01081"	"Other opioids"	"T40.2"	11	1748019	Unreliable
	"Lee County, AL"	"01081"	"Methadone"	"T40.3"	Suppressed	1748019	Suppressed
	"Lee County, AL"	"01081"	"Other synthetic narcotics"	"T40.4"	Suppressed	1748019	Suppressed
	"Limestone County, AL"	"01083"	"Heroin"	"T40.1"	Suppressed	1024130	Suppressed
	"Limestone County, AL"	"01083"	"Other opioids"	"T40.2"	14	1024130	Unreliable
	"Limestone County, AL"	"01083"	"Methadone"	"T40.3"	10	1024130	Unreliable
	"Limestone County, AL"	"01083"	"Other synthetic narcotics"	"T40.4"	Suppressed	1024130	Suppressed
	"Lowndes County, AL"	"01085"	"Heroin"	"T40.1"	Suppressed	132874	Suppressed
	"Lowndes County, AL"	"01085"	"Other opioids"	"T40.2"	Suppressed	132874	Suppressed
	"Lowndes County, AL"	"01085"	"Methadone"	"T40.3"	Suppressed	132874	Suppressed
	"Lowndes County, AL"	"01085"	"Other synthetic narcotics"	"T40.4"	Suppressed	132874	Suppressed
	"Macon County, AL"	"01087"	"Heroin"	"T40.1"	Suppressed	246061	Suppressed
	"Macon County, AL"	"01087"	"Other opioids"	"T40.2"	Suppressed	246061	Suppressed
	"Macon County, AL"	"01087"	"Methadone"	"T40.3"	Suppressed	246061	Suppressed
	"Macon County, AL"	"01087"	"Other synthetic narcotics"	"T40.4"	Suppressed	246061	Suppressed
	"Madison County, AL"	"01089"	"Heroin"	"T40.1"	10	4065706	Unreliable
	"Madison County, AL"	"01089"	"Other opioids"	"T40.2"	28	4065706	0.7
	"Madison County, AL"	"01089"	"Methadone"	"T40.3"	17	4065706	Unreliable
	"Madison County, AL"	"01089"	"Other synthetic narcotics"	"T40.4"	30	4065706	0.7
	"Marengo County, AL"	"01091"	"Heroin"	"T40.1"	Suppressed	246968	Suppressed
	"Marengo County, AL"	"01091"	"Other opioids"	"T40.2"	Suppressed	246968	Suppressed
	"Marengo County, AL"	"01091"	"Methadone"	"T40.3"	Suppressed	246968	Suppressed
	"Marengo County, AL"	"01091"	"Other synthetic narcotics"	"T40.4"	Suppressed	246968	Suppressed
	"Marion County, AL"	"01093"	"Heroin"	"T40.1"	Suppressed	365562	Suppressed
	"Marion County, AL"	"01093"	"Other opioids"	"T40.2"	Suppressed	365562	Suppressed
	"Marion County, AL"	"01093"	"Methadone"	"T40.3"	Suppressed	365562	Suppressed
	"Marion County, AL"	"01093"	"Other synthetic narcotics"	"T40.4"	Suppressed	365562	Suppressed
	"Marshall County, AL"	"01095"	"Heroin"	"T40.1"	Suppressed	1117886	Suppressed
	"Marshall County, AL"	"01095"	"Other opioids"	"T40.2"	Suppressed	1117886	Suppressed
	"Marshall County, AL"	"01095"	"Methadone"	"T40.3"	Suppressed	1117886	Suppressed
	"Marshall County, AL"	"01095"	"Other synthetic narcotics"	"T40.4"	Suppressed	1117886	Suppressed
	"Mobile County, AL"	"01097"	"Heroin"	"T40.1"	Suppressed	4942714	Suppressed
	"Mobile County, AL"	"01097"	"Other opioids"	"T40.2"	120	4942714	2.4
	"Mobile County, AL"	"01097"	"Methadone"	"T40.3"	105	4942714	2.1
	"Mobile County, AL"	"01097"	"Other synthetic narcotics"	"T40.4"	32	4942714	0.6
	"Monroe County, AL"	"01099"	"Heroin"	"T40.1"	Suppressed	270793	Suppressed
	"Monroe County, AL"	"01099"	"Other opioids"	"T40.2"	Suppressed	270793	Suppressed
	"Monroe County, AL"	"01099"	"Methadone"	"T40.3"	Suppressed	270793	Suppressed
	"Monroe County, AL"	"01099"	"Other synthetic narcotics"	"T40.4"	Suppressed	270793	Suppressed
	"Montgomery County, AL"	"01101"	"Heroin"	"T40.1"	Suppressed	2734153	Suppressed
	"Montgomery County, AL"	"01101"	"Other opioids"	"T40.2"	12	2734153	Unreliable
	"Montgomery County, AL"	"01101"	"Methadone"	"T40.3"	Suppressed	2734153	Suppressed
	"Montgomery County, AL"	"01101"	"Other synthetic narcotics"	"T40.4"	Suppressed	2734153	Suppressed
	"Morgan County, AL"	"01103"	"Heroin"	"T40.1"	Suppressed	1425163	Suppressed
	"Morgan County, AL"	"01103"	"Other opioids"	"T40.2"	Suppressed	1425163	Suppressed
	"Morgan County, AL"	"01103"	"Methadone"	"T40.3"	Suppressed	1425163	Suppressed
	"Morgan County, AL"	"01103"	"Other synthetic narcotics"	"T40.4"	Suppressed	1425163	Suppressed
	"Perry County, AL"	"01105"	"Heroin"	"T40.1"	Suppressed	122419	Suppressed
	"Perry County, AL"	"01105"	"Other opioids"	"T40.2"	Suppressed	122419	Suppressed
	"Perry County, AL"	"01105"	"Methadone"	"T40.3"	Suppressed	122419	Suppressed
	"Perry County, AL"	"01105"	"Other synthetic narcotics"	"T40.4"	Suppressed	122419	Suppressed
	"Pickens County, AL"	"01107"	"Heroin"	"T40.1"	Suppressed	239512	Suppressed
	"Pickens County, AL"	"01107"	"Other opioids"	"T40.2"	Suppressed	239512	Suppressed
	"Pickens County, AL"	"01107"	"Methadone"	"T40.3"	Suppressed	239512	Suppressed
	"Pickens County, AL"	"01107"	"Other synthetic narcotics"	"T40.4"	Suppressed	239512	Suppressed
	"Pike County, AL"	"01109"	"Heroin"	"T40.1"	Suppressed	393102	Suppressed
	"Pike County, AL"	"01109"	"Other opioids"	"T40.2"	Suppressed	393102	Suppressed
	"Pike County, AL"	"01109"	"Methadone"	"T40.3"	Suppressed	393102	Suppressed
	"Pike County, AL"	"01109"	"Other synthetic narcotics"	"T40.4"	Suppressed	393102	Suppressed
	"Randolph County, AL"	"01111"	"Heroin"	"T40.1"	Suppressed	272826	Suppressed
	"Randolph County, AL"	"01111"	"Other opioids"	"T40.2"	Suppressed	272826	Suppressed
	"Randolph County, AL"	"01111"	"Methadone"	"T40.3"	Suppressed	272826	Suppressed
	"Randolph County, AL"	"01111"	"Other synthetic narcotics"	"T40.4"	Suppressed	272826	Suppressed
	"Russell County, AL"	"01113"	"Heroin"	"T40.1"	Suppressed	664538	Suppressed
	"Russell County, AL"	"01113"	"Other opioids"	"T40.2"	Suppressed	664538	Suppressed
	"Russell County, AL"	"01113"	"Methadone"	"T40.3"	Suppressed	664538	Suppressed
	"Russell County, AL"	"01113"	"Other synthetic narcotics"	"T40.4"	Suppressed	664538	Suppressed
	"St. Clair County, AL"	"01115"	"Heroin"	"T40.1"	16	1009053	Unreliable
	"St. Clair County, AL"	"01115"	"Other opioids"	"T40.2"	25	1009053	2.5
	"St. Clair County, AL"	"01115"	"Methadone"	"T40.3"	23	1009053	2.3
	"St. Clair County, AL"	"01115"	"Other synthetic narcotics"	"T40.4"	19	1009053	Unreliable
	"Shelby County, AL"	"01117"	"Heroin"	"T40.1"	42	2381311	1.8
	"Shelby County, AL"	"01117"	"Other opioids"	"T40.2"	84	2381311	3.5
	"Shelby County, AL"	"01117"	"Methadone"	"T40.3"	45	2381311	1.9
	"Shelby County, AL"	"01117"	"Other synthetic narcotics"	"T40.4"	38	2381311	1.6
	"Sumter County, AL"	"01119"	"Heroin"	"T40.1"	Suppressed	161638	Suppressed
	"Sumter County, AL"	"01119"	"Other opioids"	"T40.2"	Suppressed	161638	Suppressed
	"Sumter County, AL"	"01119"	"Methadone"	"T40.3"	Suppressed	161638	Suppressed
	"Sumter County, AL"	"01119"	"Other synthetic narcotics"	"T40.4"	Suppressed	161638	Suppressed
	"Talladega County, AL"	"01121"	"Heroin"	"T40.1"	Suppressed	978791	Suppressed
	"Talladega County, AL"	"01121"	"Other opioids"	"T40.2"	11	978791	Unreliable
	"Talladega County, AL"	"01121"	"Methadone"	"T40.3"	Suppressed	978791	Suppressed
	"Talladega County, AL"	"01121"	"Other synthetic narcotics"	"T40.4"	Suppressed	978791	Suppressed
	"Tallapoosa County, AL"	"01123"	"Heroin"	"T40.1"	Suppressed	495183	Suppressed
	"Tallapoosa County, AL"	"01123"	"Other opioids"	"T40.2"	10	495183	Unreliable
	"Tallapoosa County, AL"	"01123"	"Methadone"	"T40.3"	Suppressed	495183	Suppressed
	"Tallapoosa County, AL"	"01123"	"Other synthetic narcotics"	"T40.4"	Suppressed	495183	Suppressed
	"Tuscaloosa County, AL"	"01125"	"Heroin"	"T40.1"	10	2358003	Unreliable
	"Tuscaloosa County, AL"	"01125"	"Other opioids"	"T40.2"	38	2358003	1.6
	"Tuscaloosa County, AL"	"01125"	"Methadone"	"T40.3"	36	2358003	1.5
	"Tuscaloosa County, AL"	"01125"	"Other synthetic narcotics"	"T40.4"	16	2358003	Unreliable
	"Walker County, AL"	"01127"	"Heroin"	"T40.1"	10	796804	Unreliable
	"Walker County, AL"	"01127"	"Other opioids"	"T40.2"	32	796804	4.0
	"Walker County, AL"	"01127"	"Methadone"	"T40.3"	50	796804	6.3
	"Walker County, AL"	"01127"	"Other synthetic narcotics"	"T40.4"	19	796804	Unreliable
	"Washington County, AL"	"01129"	"Heroin"	"T40.1"	Suppressed	206021	Suppressed
	"Washington County, AL"	"01129"	"Other opioids"	"T40.2"	Suppressed	206021	Suppressed
	"Washington County, AL"	"01129"	"Methadone"	"T40.3"	Suppressed	206021	Suppressed
	"Washington County, AL"	"01129"	"Other synthetic narcotics"	"T40.4"	Suppressed	206021	Suppressed
	"Wilcox County, AL"	"01131"	"Heroin"	"T40.1"	Suppressed	138199	Suppressed
	"Wilcox County, AL"	"01131"	"Other opioids"	"T40.2"	Suppressed	138199	Suppressed
	"Wilcox County, AL"	"01131"	"Methadone"	"T40.3"	Suppressed	138199	Suppressed
	"Wilcox County, AL"	"01131"	"Other synthetic narcotics"	"T40.4"	Suppressed	138199	Suppressed
	"Winston County, AL"	"01133"	"Heroin"	"T40.1"	Suppressed	291660	Suppressed
	"Winston County, AL"	"01133"	"Other opioids"	"T40.2"	Suppressed	291660	Suppressed
	"Winston County, AL"	"01133"	"Methadone"	"T40.3"	Suppressed	291660	Suppressed
	"Winston County, AL"	"01133"	"Other synthetic narcotics"	"T40.4"	Suppressed	291660	Suppressed
	"Aleutians East Borough, AK"	"02013"	"Heroin"	"T40.1"	Suppressed	37814	Suppressed
	"Aleutians East Borough, AK"	"02013"	"Other opioids"	"T40.2"	Suppressed	37814	Suppressed
	"Aleutians East Borough, AK"	"02013"	"Methadone"	"T40.3"	Suppressed	37814	Suppressed
	"Aleutians East Borough, AK"	"02013"	"Other synthetic narcotics"	"T40.4"	Suppressed	37814	Suppressed
	"Aleutians West Census Area, AK"	"02016"	"Heroin"	"T40.1"	Suppressed	67039	Suppressed
	"Aleutians West Census Area, AK"	"02016"	"Other opioids"	"T40.2"	Suppressed	67039	Suppressed
	"Aleutians West Census Area, AK"	"02016"	"Methadone"	"T40.3"	Suppressed	67039	Suppressed
	"Aleutians West Census Area, AK"	"02016"	"Other synthetic narcotics"	"T40.4"	Suppressed	67039	Suppressed
	"Anchorage Borough, AK"	"02020"	"Heroin"	"T40.1"	126	3507317	3.6
	"Anchorage Borough, AK"	"02020"	"Other opioids"	"T40.2"	209	3507317	6.0
	"Anchorage Borough, AK"	"02020"	"Methadone"	"T40.3"	52	3507317	1.5
	"Anchorage Borough, AK"	"02020"	"Other synthetic narcotics"	"T40.4"	65	3507317	1.9
	"Bethel Census Area, AK"	"02050"	"Heroin"	"T40.1"	Suppressed	208891	Suppressed
	"Bethel Census Area, AK"	"02050"	"Other opioids"	"T40.2"	Suppressed	208891	Suppressed
	"Bethel Census Area, AK"	"02050"	"Methadone"	"T40.3"	Suppressed	208891	Suppressed
	"Bethel Census Area, AK"	"02050"	"Other synthetic narcotics"	"T40.4"	Suppressed	208891	Suppressed
	"Bristol Bay Borough, AK"	"02060"	"Heroin"	"T40.1"	Suppressed	11795	Suppressed
	"Bristol Bay Borough, AK"	"02060"	"Other opioids"	"T40.2"	Suppressed	11795	Suppressed
	"Bristol Bay Borough, AK"	"02060"	"Methadone"	"T40.3"	Suppressed	11795	Suppressed
	"Bristol Bay Borough, AK"	"02060"	"Other synthetic narcotics"	"T40.4"	Suppressed	11795	Suppressed
	"Denali Borough, AK"	"02068"	"Heroin"	"T40.1"	Suppressed	22550	Suppressed
	"Denali Borough, AK"	"02068"	"Other opioids"	"T40.2"	Suppressed	22550	Suppressed
	"Denali Borough, AK"	"02068"	"Methadone"	"T40.3"	Suppressed	22550	Suppressed
	"Denali Borough, AK"	"02068"	"Other synthetic narcotics"	"T40.4"	Suppressed	22550	Suppressed
	"Dillingham Census Area, AK"	"02070"	"Heroin"	"T40.1"	Suppressed	58947	Suppressed
