"Notes"	"State"	"State Code"	"Multiple Cause of death"	"Multiple Cause of death Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate
	"Alaska"	"02"	"Methadone"	"T40.3"	"2006"	"2006"	11	675302	Unreliable
	"Alaska"	"02"	"Methadone"	"T40.3"	"2007"	"2007"	Suppressed	680300	Suppressed
	"Alaska"	"02"	"Methadone"	"T40.3"	"2008"	"2008"	30	687455	4.4
	"Alaska"	"02"	"Methadone"	"T40.3"	"2009"	"2009"	21	698895	3.0
	"Alaska"	"02"	"Methadone"	"T40.3"	"2010"	"2010"	25	710231	3.5
	"Alaska"	"02"	"Methadone"	"T40.3"	"2011"	"2011"	17	722718	Unreliable
	"Alaska"	"02"	"Methadone"	"T40.3"	"2012"	"2012"	10	731449	Unreliable
	"Alaska"	"02"	"Methadone"	"T40.3"	"2013"	"2013"	Suppressed	735132	Suppressed
	"Alaska"	"02"	"Methadone"	"T40.3"	"2014"	"2014"	12	736732	Unreliable
	"Alaska"	"02"	"Methadone"	"T40.3"	"2015"	"2015"	10	738432	Unreliable
	"Alaska"	"02"	"Methadone"	"T40.3"	"2016"	"2016"	13	741894	Unreliable
	"Alaska"	"02"	"Methadone"	"T40.3"	"2017"	"2017"	Suppressed	739795	Suppressed
	"Alaska"	"02"	"Other synthetic narcotics"	"T40.4"	"1999"	"1999"	Suppressed	624779	Suppressed
	"Alaska"	"02"	"Other synthetic narcotics"	"T40.4"	"2000"	"2000"	Suppressed	626932	Suppressed
	"Alaska"	"02"	"Other synthetic narcotics"	"T40.4"	"2001"	"2001"	Suppressed	633714	Suppressed
	"Alaska"	"02"	"Other synthetic narcotics"	"T40.4"	"2002"	"2002"	Suppressed	642337	Suppressed
	"Alaska"	"02"	"Other synthetic narcotics"	"T40.4"	"2003"	"2003"	Suppressed	648414	Suppressed
	"Alaska"	"02"	"Other synthetic narcotics"	"T40.4"	"2004"	"2004"	Suppressed	659286	Suppressed
	"Alaska"	"02"	"Other synthetic narcotics"	"T40.4"	"2005"	"2005"	Suppressed	666946	Suppressed
	"Alaska"	"02"	"Other synthetic narcotics"	"T40.4"	"2006"	"2006"	Suppressed	675302	Suppressed
	"Alaska"	"02"	"Other synthetic narcotics"	"T40.4"	"2007"	"2007"	Suppressed	680300	Suppressed
	"Alaska"	"02"	"Other synthetic narcotics"	"T40.4"	"2008"	"2008"	13	687455	Unreliable
	"Alaska"	"02"	"Other synthetic narcotics"	"T40.4"	"2009"	"2009"	22	698895	3.1
	"Alaska"	"02"	"Other synthetic narcotics"	"T40.4"	"2010"	"2010"	10	710231	Unreliable
	"Alaska"	"02"	"Other synthetic narcotics"	"T40.4"	"2011"	"2011"	Suppressed	722718	Suppressed
	"Alaska"	"02"	"Other synthetic narcotics"	"T40.4"	"2012"	"2012"	Suppressed	731449	Suppressed
	"Alaska"	"02"	"Other synthetic narcotics"	"T40.4"	"2013"	"2013"	12	735132	Unreliable
	"Alaska"	"02"	"Other synthetic narcotics"	"T40.4"	"2014"	"2014"	14	736732	Unreliable
	"Alaska"	"02"	"Other synthetic narcotics"	"T40.4"	"2015"	"2015"	14	738432	Unreliable
	"Alaska"	"02"	"Other synthetic narcotics"	"T40.4"	"2016"	"2016"	Suppressed	741894	Suppressed
	"Alaska"	"02"	"Other synthetic narcotics"	"T40.4"	"2017"	"2017"	37	739795	5.0
	"Arizona"	"04"	"Heroin"	"T40.1"	"1999"	"1999"	23	5023823	0.5
	"Arizona"	"04"	"Heroin"	"T40.1"	"2000"	"2000"	14	5130632	Unreliable
	"Arizona"	"04"	"Heroin"	"T40.1"	"2001"	"2001"	23	5273477	0.4
	"Arizona"	"04"	"Heroin"	"T40.1"	"2002"	"2002"	24	5396255	0.4
	"Arizona"	"04"	"Heroin"	"T40.1"	"2003"	"2003"	64	5510364	1.2
	"Arizona"	"04"	"Heroin"	"T40.1"	"2004"	"2004"	40	5652404	0.7
	"Arizona"	"04"	"Heroin"	"T40.1"	"2005"	"2005"	32	5839077	0.5
	"Arizona"	"04"	"Heroin"	"T40.1"	"2006"	"2006"	52	6029141	0.9
	"Arizona"	"04"	"Heroin"	"T40.1"	"2007"	"2007"	51	6167681	0.8
	"Arizona"	"04"	"Heroin"	"T40.1"	"2008"	"2008"	63	6280362	1.0
	"Arizona"	"04"	"Heroin"	"T40.1"	"2009"	"2009"	84	6343154	1.3
	"Arizona"	"04"	"Heroin"	"T40.1"	"2010"	"2010"	90	6392017	1.4
	"Arizona"	"04"	"Heroin"	"T40.1"	"2011"	"2011"	117	6482505	1.8
	"Arizona"	"04"	"Heroin"	"T40.1"	"2012"	"2012"	101	6553255	1.5
	"Arizona"	"04"	"Heroin"	"T40.1"	"2013"	"2013"	146	6626624	2.2
	"Arizona"	"04"	"Heroin"	"T40.1"	"2014"	"2014"	197	6731484	2.9
	"Arizona"	"04"	"Heroin"	"T40.1"	"2015"	"2015"	247	6828065	3.6
	"Arizona"	"04"	"Heroin"	"T40.1"	"2016"	"2016"	299	6931071	4.3
	"Arizona"	"04"	"Heroin"	"T40.1"	"2017"	"2017"	334	7016270	4.8
	"Arizona"	"04"	"Other opioids"	"T40.2"	"1999"	"1999"	80	5023823	1.6
	"Arizona"	"04"	"Other opioids"	"T40.2"	"2000"	"2000"	91	5130632	1.8
	"Arizona"	"04"	"Other opioids"	"T40.2"	"2001"	"2001"	83	5273477	1.6
	"Arizona"	"04"	"Other opioids"	"T40.2"	"2002"	"2002"	128	5396255	2.4
	"Arizona"	"04"	"Other opioids"	"T40.2"	"2003"	"2003"	132	5510364	2.4
	"Arizona"	"04"	"Other opioids"	"T40.2"	"2004"	"2004"	145	5652404	2.6
	"Arizona"	"04"	"Other opioids"	"T40.2"	"2005"	"2005"	171	5839077	2.9
	"Arizona"	"04"	"Other opioids"	"T40.2"	"2006"	"2006"	187	6029141	3.1
	"Arizona"	"04"	"Other opioids"	"T40.2"	"2007"	"2007"	218	6167681	3.5
	"Arizona"	"04"	"Other opioids"	"T40.2"	"2008"	"2008"	255	6280362	4.1
	"Arizona"	"04"	"Other opioids"	"T40.2"	"2009"	"2009"	312	6343154	4.9
	"Arizona"	"04"	"Other opioids"	"T40.2"	"2010"	"2010"	327	6392017	5.1
	"Arizona"	"04"	"Other opioids"	"T40.2"	"2011"	"2011"	313	6482505	4.8
	"Arizona"	"04"	"Other opioids"	"T40.2"	"2012"	"2012"	326	6553255	5.0
	"Arizona"	"04"	"Other opioids"	"T40.2"	"2013"	"2013"	253	6626624	3.8
	"Arizona"	"04"	"Other opioids"	"T40.2"	"2014"	"2014"	290	6731484	4.3
	"Arizona"	"04"	"Other opioids"	"T40.2"	"2015"	"2015"	298	6828065	4.4
	"Arizona"	"04"	"Other opioids"	"T40.2"	"2016"	"2016"	326	6931071	4.7
	"Arizona"	"04"	"Other opioids"	"T40.2"	"2017"	"2017"	349	7016270	5.0
	"Arizona"	"04"	"Methadone"	"T40.3"	"1999"	"1999"	20	5023823	0.4
	"Arizona"	"04"	"Methadone"	"T40.3"	"2000"	"2000"	14	5130632	Unreliable
	"Arizona"	"04"	"Methadone"	"T40.3"	"2001"	"2001"	28	5273477	0.5
	"Arizona"	"04"	"Methadone"	"T40.3"	"2002"	"2002"	57	5396255	1.1
	"Arizona"	"04"	"Methadone"	"T40.3"	"2003"	"2003"	71	5510364	1.3
	"Arizona"	"04"	"Methadone"	"T40.3"	"2004"	"2004"	65	5652404	1.1
	"Arizona"	"04"	"Methadone"	"T40.3"	"2005"	"2005"	87	5839077	1.5
	"Arizona"	"04"	"Methadone"	"T40.3"	"2006"	"2006"	88	6029141	1.5
	"Arizona"	"04"	"Methadone"	"T40.3"	"2007"	"2007"	81	6167681	1.3
	"Arizona"	"04"	"Methadone"	"T40.3"	"2008"	"2008"	89	6280362	1.4
	"Arizona"	"04"	"Methadone"	"T40.3"	"2009"	"2009"	105	6343154	1.7
	"Arizona"	"04"	"Methadone"	"T40.3"	"2010"	"2010"	106	6392017	1.7
	"Arizona"	"04"	"Methadone"	"T40.3"	"2011"	"2011"	55	6482505	0.8
	"Arizona"	"04"	"Methadone"	"T40.3"	"2012"	"2012"	50	6553255	0.8
	"Arizona"	"04"	"Methadone"	"T40.3"	"2013"	"2013"	64	6626624	1.0
	"Arizona"	"04"	"Methadone"	"T40.3"	"2014"	"2014"	62	6731484	0.9
	"Arizona"	"04"	"Methadone"	"T40.3"	"2015"	"2015"	75	6828065	1.1
	"Arizona"	"04"	"Methadone"	"T40.3"	"2016"	"2016"	75	6931071	1.1
	"Arizona"	"04"	"Methadone"	"T40.3"	"2017"	"2017"	83	7016270	1.2
	"Arizona"	"04"	"Other synthetic narcotics"	"T40.4"	"1999"	"1999"	22	5023823	0.4
	"Arizona"	"04"	"Other synthetic narcotics"	"T40.4"	"2000"	"2000"	17	5130632	Unreliable
	"Arizona"	"04"	"Other synthetic narcotics"	"T40.4"	"2001"	"2001"	20	5273477	0.4
	"Arizona"	"04"	"Other synthetic narcotics"	"T40.4"	"2002"	"2002"	21	5396255	0.4
	"Arizona"	"04"	"Other synthetic narcotics"	"T40.4"	"2003"	"2003"	22	5510364	0.4
	"Arizona"	"04"	"Other synthetic narcotics"	"T40.4"	"2004"	"2004"	28	5652404	0.5
	"Arizona"	"04"	"Other synthetic narcotics"	"T40.4"	"2005"	"2005"	35	5839077	0.6
	"Arizona"	"04"	"Other synthetic narcotics"	"T40.4"	"2006"	"2006"	54	6029141	0.9
	"Arizona"	"04"	"Other synthetic narcotics"	"T40.4"	"2007"	"2007"	38	6167681	0.6
	"Arizona"	"04"	"Other synthetic narcotics"	"T40.4"	"2008"	"2008"	49	6280362	0.8
	"Arizona"	"04"	"Other synthetic narcotics"	"T40.4"	"2009"	"2009"	55	6343154	0.9
	"Arizona"	"04"	"Other synthetic narcotics"	"T40.4"	"2010"	"2010"	68	6392017	1.1
	"Arizona"	"04"	"Other synthetic narcotics"	"T40.4"	"2011"	"2011"	40	6482505	0.6
	"Arizona"	"04"	"Other synthetic narcotics"	"T40.4"	"2012"	"2012"	36	6553255	0.5
	"Arizona"	"04"	"Other synthetic narcotics"	"T40.4"	"2013"	"2013"	52	6626624	0.8
	"Arizona"	"04"	"Other synthetic narcotics"	"T40.4"	"2014"	"2014"	57	6731484	0.8
	"Arizona"	"04"	"Other synthetic narcotics"	"T40.4"	"2015"	"2015"	72	6828065	1.1
	"Arizona"	"04"	"Other synthetic narcotics"	"T40.4"	"2016"	"2016"	123	6931071	1.8
	"Arizona"	"04"	"Other synthetic narcotics"	"T40.4"	"2017"	"2017"	267	7016270	3.8
	"Arkansas"	"05"	"Heroin"	"T40.1"	"1999"	"1999"	Suppressed	2651860	Suppressed
	"Arkansas"	"05"	"Heroin"	"T40.1"	"2000"	"2000"	Suppressed	2673400	Suppressed
	"Arkansas"	"05"	"Heroin"	"T40.1"	"2001"	"2001"	Suppressed	2691571	Suppressed
	"Arkansas"	"05"	"Heroin"	"T40.1"	"2002"	"2002"	Suppressed	2705927	Suppressed
	"Arkansas"	"05"	"Heroin"	"T40.1"	"2003"	"2003"	Suppressed	2724816	Suppressed
	"Arkansas"	"05"	"Heroin"	"T40.1"	"2004"	"2004"	Suppressed	2749686	Suppressed
	"Arkansas"	"05"	"Heroin"	"T40.1"	"2005"	"2005"	Suppressed	2781097	Suppressed
	"Arkansas"	"05"	"Heroin"	"T40.1"	"2006"	"2006"	Suppressed	2821761	Suppressed
	"Arkansas"	"05"	"Heroin"	"T40.1"	"2007"	"2007"	Suppressed	2848650	Suppressed
	"Arkansas"	"05"	"Heroin"	"T40.1"	"2008"	"2008"	Suppressed	2874554	Suppressed
	"Arkansas"	"05"	"Heroin"	"T40.1"	"2009"	"2009"	Suppressed	2896843	Suppressed
	"Arkansas"	"05"	"Heroin"	"T40.1"	"2010"	"2010"	Suppressed	2915918	Suppressed
	"Arkansas"	"05"	"Heroin"	"T40.1"	"2011"	"2011"	Suppressed	2937979	Suppressed
	"Arkansas"	"05"	"Heroin"	"T40.1"	"2012"	"2012"	Suppressed	2949131	Suppressed
	"Arkansas"	"05"	"Heroin"	"T40.1"	"2013"	"2013"	Suppressed	2959373	Suppressed
	"Arkansas"	"05"	"Heroin"	"T40.1"	"2014"	"2014"	Suppressed	2966369	Suppressed
	"Arkansas"	"05"	"Heroin"	"T40.1"	"2015"	"2015"	Suppressed	2978204	Suppressed
	"Arkansas"	"05"	"Heroin"	"T40.1"	"2016"	"2016"	13	2988248	Unreliable
	"Arkansas"	"05"	"Heroin"	"T40.1"	"2017"	"2017"	15	3004279	Unreliable
	"Arkansas"	"05"	"Other opioids"	"T40.2"	"1999"	"1999"	Suppressed	2651860	Suppressed
	"Arkansas"	"05"	"Other opioids"	"T40.2"	"2000"	"2000"	Suppressed	2673400	Suppressed
	"Arkansas"	"05"	"Other opioids"	"T40.2"	"2001"	"2001"	14	2691571	Unreliable
	"Arkansas"	"05"	"Other opioids"	"T40.2"	"2002"	"2002"	40	2705927	1.5
	"Arkansas"	"05"	"Other opioids"	"T40.2"	"2003"	"2003"	50	2724816	1.8
	"Arkansas"	"05"	"Other opioids"	"T40.2"	"2004"	"2004"	63	2749686	2.3
	"Arkansas"	"05"	"Other opioids"	"T40.2"	"2005"	"2005"	60	2781097	2.2
	"Arkansas"	"05"	"Other opioids"	"T40.2"	"2006"	"2006"	68	2821761	2.4
	"Arkansas"	"05"	"Other opioids"	"T40.2"	"2007"	"2007"	87	2848650	3.1
	"Arkansas"	"05"	"Other opioids"	"T40.2"	"2008"	"2008"	110	2874554	3.8
	"Arkansas"	"05"	"Other opioids"	"T40.2"	"2009"	"2009"	124	2896843	4.3
	"Arkansas"	"05"	"Other opioids"	"T40.2"	"2010"	"2010"	118	2915918	4.0
	"Arkansas"	"05"	"Other opioids"	"T40.2"	"2011"	"2011"	114	2937979	3.9
	"Arkansas"	"05"	"Other opioids"	"T40.2"	"2012"	"2012"	118	2949131	4.0
	"Arkansas"	"05"	"Other opioids"	"T40.2"	"2013"	"2013"	111	2959373	3.8
	"Arkansas"	"05"	"Other opioids"	"T40.2"	"2014"	"2014"	119	2966369	4.0
	"Arkansas"	"05"	"Other opioids"	"T40.2"	"2015"	"2015"	144	2978204	4.8
	"Arkansas"	"05"	"Other opioids"	"T40.2"	"2016"	"2016"	114	2988248	3.8
	"Arkansas"	"05"	"Other opioids"	"T40.2"	"2017"	"2017"	116	3004279	3.9
	"Arkansas"	"05"	"Methadone"	"T40.3"	"1999"	"1999"	Suppressed	2651860	Suppressed
	"Arkansas"	"05"	"Methadone"	"T40.3"	"2000"	"2000"	Suppressed	2673400	Suppressed
	"Arkansas"	"05"	"Methadone"	"T40.3"	"2001"	"2001"	Suppressed	2691571	Suppressed
	"Arkansas"	"05"	"Methadone"	"T40.3"	"2002"	"2002"	32	2705927	1.2
	"Arkansas"	"05"	"Methadone"	"T40.3"	"2003"	"2003"	36	2724816	1.3
	"Arkansas"	"05"	"Methadone"	"T40.3"	"2004"	"2004"	50	2749686	1.8
	"Arkansas"	"05"	"Methadone"	"T40.3"	"2005"	"2005"	53	2781097	1.9
	"Arkansas"	"05"	"Methadone"	"T40.3"	"2006"	"2006"	70	2821761	2.5
	"Arkansas"	"05"	"Methadone"	"T40.3"	"2007"	"2007"	63	2848650	2.2
	"Arkansas"	"05"	"Methadone"	"T40.3"	"2008"	"2008"	89	2874554	3.1
	"Arkansas"	"05"	"Methadone"	"T40.3"	"2009"	"2009"	70	2896843	2.4
	"Arkansas"	"05"	"Methadone"	"T40.3"	"2010"	"2010"	56	2915918	1.9
	"Arkansas"	"05"	"Methadone"	"T40.3"	"2011"	"2011"	56	2937979	1.9
	"Arkansas"	"05"	"Methadone"	"T40.3"	"2012"	"2012"	43	2949131	1.5
	"Arkansas"	"05"	"Methadone"	"T40.3"	"2013"	"2013"	42	2959373	1.4
