"Notes"	"State"	"State Code"	"Multiple Cause of death"	"Multiple Cause of death Code"	"Gender"	"Gender Code"	Deaths	Population	Crude Rate
	"Arkansas"	"05"	"Heroin"	"T40.1"	"Male"	"M"	69	26530650	0.3
	"Arkansas"	"05"	"Other opioids"	"T40.2"	"Female"	"F"	722	27589016	2.6
	"Arkansas"	"05"	"Other opioids"	"T40.2"	"Male"	"M"	863	26530650	3.3
	"Arkansas"	"05"	"Methadone"	"T40.3"	"Female"	"F"	303	27589016	1.1
	"Arkansas"	"05"	"Methadone"	"T40.3"	"Male"	"M"	493	26530650	1.9
	"Arkansas"	"05"	"Other synthetic narcotics"	"T40.4"	"Female"	"F"	256	27589016	0.9
	"Arkansas"	"05"	"Other synthetic narcotics"	"T40.4"	"Male"	"M"	344	26530650	1.3
	"California"	"06"	"Heroin"	"T40.1"	"Female"	"F"	1228	350411204	0.4
	"California"	"06"	"Heroin"	"T40.1"	"Male"	"M"	6275	346857513	1.8
	"California"	"06"	"Other opioids"	"T40.2"	"Female"	"F"	6153	350411204	1.8
	"California"	"06"	"Other opioids"	"T40.2"	"Male"	"M"	11177	346857513	3.2
	"California"	"06"	"Methadone"	"T40.3"	"Female"	"F"	1859	350411204	0.5
	"California"	"06"	"Methadone"	"T40.3"	"Male"	"M"	3040	346857513	0.9
	"California"	"06"	"Other synthetic narcotics"	"T40.4"	"Female"	"F"	1437	350411204	0.4
	"California"	"06"	"Other synthetic narcotics"	"T40.4"	"Male"	"M"	1901	346857513	0.5
	"Colorado"	"08"	"Heroin"	"T40.1"	"Female"	"F"	304	46347131	0.7
	"Colorado"	"08"	"Heroin"	"T40.1"	"Male"	"M"	1217	46780170	2.6
	"Colorado"	"08"	"Other opioids"	"T40.2"	"Female"	"F"	1329	46347131	2.9
	"Colorado"	"08"	"Other opioids"	"T40.2"	"Male"	"M"	1606	46780170	3.4
	"Colorado"	"08"	"Methadone"	"T40.3"	"Female"	"F"	350	46347131	0.8
	"Colorado"	"08"	"Methadone"	"T40.3"	"Male"	"M"	471	46780170	1.0
	"Colorado"	"08"	"Other synthetic narcotics"	"T40.4"	"Female"	"F"	461	46347131	1.0
	"Colorado"	"08"	"Other synthetic narcotics"	"T40.4"	"Male"	"M"	474	46780170	1.0
	"Connecticut"	"09"	"Heroin"	"T40.1"	"Female"	"F"	625	34416511	1.8
	"Connecticut"	"09"	"Heroin"	"T40.1"	"Male"	"M"	2503	32599973	7.7
	"Connecticut"	"09"	"Other opioids"	"T40.2"	"Female"	"F"	465	34416511	1.4
	"Connecticut"	"09"	"Other opioids"	"T40.2"	"Male"	"M"	818	32599973	2.5
	"Connecticut"	"09"	"Methadone"	"T40.3"	"Female"	"F"	285	34416511	0.8
	"Connecticut"	"09"	"Methadone"	"T40.3"	"Male"	"M"	521	32599973	1.6
	"Connecticut"	"09"	"Other synthetic narcotics"	"T40.4"	"Female"	"F"	442	34416511	1.3
	"Connecticut"	"09"	"Other synthetic narcotics"	"T40.4"	"Male"	"M"	1276	32599973	3.9
	"Delaware"	"10"	"Heroin"	"T40.1"	"Female"	"F"	106	8556281	1.2
	"Delaware"	"10"	"Heroin"	"T40.1"	"Male"	"M"	372	8048216	4.6
	"Delaware"	"10"	"Other opioids"	"T40.2"	"Female"	"F"	209	8556281	2.4
	"Delaware"	"10"	"Other opioids"	"T40.2"	"Male"	"M"	312	8048216	3.9
	"Delaware"	"10"	"Methadone"	"T40.3"	"Female"	"F"	106	8556281	1.2
	"Delaware"	"10"	"Methadone"	"T40.3"	"Male"	"M"	150	8048216	1.9
	"Delaware"	"10"	"Other synthetic narcotics"	"T40.4"	"Female"	"F"	162	8556281	1.9
	"Delaware"	"10"	"Other synthetic narcotics"	"T40.4"	"Male"	"M"	303	8048216	3.8
	"District of Columbia"	"11"	"Heroin"	"T40.1"	"Female"	"F"	129	6073634	2.1
	"District of Columbia"	"11"	"Heroin"	"T40.1"	"Male"	"M"	382	5441995	7.0
	"District of Columbia"	"11"	"Other opioids"	"T40.2"	"Female"	"F"	84	6073634	1.4
	"District of Columbia"	"11"	"Other opioids"	"T40.2"	"Male"	"M"	162	5441995	3.0
	"District of Columbia"	"11"	"Methadone"	"T40.3"	"Female"	"F"	54	6073634	0.9
	"District of Columbia"	"11"	"Methadone"	"T40.3"	"Male"	"M"	96	5441995	1.8
	"District of Columbia"	"11"	"Other synthetic narcotics"	"T40.4"	"Female"	"F"	102	6073634	1.7
	"District of Columbia"	"11"	"Other synthetic narcotics"	"T40.4"	"Male"	"M"	269	5441995	4.9
	"Florida"	"12"	"Heroin"	"T40.1"	"Female"	"F"	881	178565913	0.5
	"Florida"	"12"	"Heroin"	"T40.1"	"Male"	"M"	3325	170689132	1.9
	"Florida"	"12"	"Other opioids"	"T40.2"	"Female"	"F"	5146	178565913	2.9
	"Florida"	"12"	"Other opioids"	"T40.2"	"Male"	"M"	8267	170689132	4.8
	"Florida"	"12"	"Methadone"	"T40.3"	"Female"	"F"	1972	178565913	1.1
	"Florida"	"12"	"Methadone"	"T40.3"	"Male"	"M"	3931	170689132	2.3
	"Florida"	"12"	"Other synthetic narcotics"	"T40.4"	"Female"	"F"	2213	178565913	1.2
	"Florida"	"12"	"Other synthetic narcotics"	"T40.4"	"Male"	"M"	4524	170689132	2.7
	"Georgia"	"13"	"Heroin"	"T40.1"	"Female"	"F"	201	90675848	0.2
	"Georgia"	"13"	"Heroin"	"T40.1"	"Male"	"M"	897	86858249	1.0
	"Georgia"	"13"	"Other opioids"	"T40.2"	"Female"	"F"	1927	90675848	2.1
	"Georgia"	"13"	"Other opioids"	"T40.2"	"Male"	"M"	2402	86858249	2.8
	"Georgia"	"13"	"Methadone"	"T40.3"	"Female"	"F"	737	90675848	0.8
	"Georgia"	"13"	"Methadone"	"T40.3"	"Male"	"M"	1280	86858249	1.5
	"Georgia"	"13"	"Other synthetic narcotics"	"T40.4"	"Female"	"F"	759	90675848	0.8
	"Georgia"	"13"	"Other synthetic narcotics"	"T40.4"	"Male"	"M"	1191	86858249	1.4
	"Hawaii"	"15"	"Heroin"	"T40.1"	"Female"	"F"	22	12562368	0.2
	"Hawaii"	"15"	"Heroin"	"T40.1"	"Male"	"M"	108	12685555	0.9
	"Hawaii"	"15"	"Other opioids"	"T40.2"	"Female"	"F"	229	12562368	1.8
	"Hawaii"	"15"	"Other opioids"	"T40.2"	"Male"	"M"	424	12685555	3.3
	"Hawaii"	"15"	"Methadone"	"T40.3"	"Female"	"F"	79	12562368	0.6
	"Hawaii"	"15"	"Methadone"	"T40.3"	"Male"	"M"	168	12685555	1.3
	"Hawaii"	"15"	"Other synthetic narcotics"	"T40.4"	"Female"	"F"	38	12562368	0.3
	"Hawaii"	"15"	"Other synthetic narcotics"	"T40.4"	"Male"	"M"	53	12685555	0.4
	"Idaho"	"16"	"Heroin"	"T40.1"	"Female"	"F"	15	14230315	Unreliable
	"Idaho"	"16"	"Heroin"	"T40.1"	"Male"	"M"	113	14295510	0.8
	"Idaho"	"16"	"Other opioids"	"T40.2"	"Female"	"F"	341	14230315	2.4
	"Idaho"	"16"	"Other opioids"	"T40.2"	"Male"	"M"	344	14295510	2.4
	"Idaho"	"16"	"Methadone"	"T40.3"	"Female"	"F"	134	14230315	0.9
	"Idaho"	"16"	"Methadone"	"T40.3"	"Male"	"M"	173	14295510	1.2
	"Idaho"	"16"	"Other synthetic narcotics"	"T40.4"	"Female"	"F"	99	14230315	0.7
	"Idaho"	"16"	"Other synthetic narcotics"	"T40.4"	"Male"	"M"	95	14295510	0.7
	"Illinois"	"17"	"Heroin"	"T40.1"	"Female"	"F"	1224	122902763	1.0
	"Illinois"	"17"	"Heroin"	"T40.1"	"Male"	"M"	4332	118330286	3.7
	"Illinois"	"17"	"Other opioids"	"T40.2"	"Female"	"F"	1322	122902763	1.1
	"Illinois"	"17"	"Other opioids"	"T40.2"	"Male"	"M"	1869	118330286	1.6
	"Illinois"	"17"	"Methadone"	"T40.3"	"Female"	"F"	578	122902763	0.5
	"Illinois"	"17"	"Methadone"	"T40.3"	"Male"	"M"	1044	118330286	0.9
	"Illinois"	"17"	"Other synthetic narcotics"	"T40.4"	"Female"	"F"	1209	122902763	1.0
	"Illinois"	"17"	"Other synthetic narcotics"	"T40.4"	"Male"	"M"	2648	118330286	2.2
	"Indiana"	"18"	"Heroin"	"T40.1"	"Female"	"F"	376	61658978	0.6
	"Indiana"	"18"	"Heroin"	"T40.1"	"Male"	"M"	1249	59680229	2.1
	"Indiana"	"18"	"Other opioids"	"T40.2"	"Female"	"F"	849	61658978	1.4
	"Indiana"	"18"	"Other opioids"	"T40.2"	"Male"	"M"	1246	59680229	2.1
	"Indiana"	"18"	"Methadone"	"T40.3"	"Female"	"F"	263	61658978	0.4
	"Indiana"	"18"	"Methadone"	"T40.3"	"Male"	"M"	556	59680229	0.9
	"Indiana"	"18"	"Other synthetic narcotics"	"T40.4"	"Female"	"F"	560	61658978	0.9
	"Indiana"	"18"	"Other synthetic narcotics"	"T40.4"	"Male"	"M"	1096	59680229	1.8
	"Iowa"	"19"	"Heroin"	"T40.1"	"Female"	"F"	73	29028157	0.3
	"Iowa"	"19"	"Heroin"	"T40.1"	"Male"	"M"	231	28358275	0.8
	"Iowa"	"19"	"Other opioids"	"T40.2"	"Female"	"F"	520	29028157	1.8
	"Iowa"	"19"	"Other opioids"	"T40.2"	"Male"	"M"	573	28358275	2.0
	"Iowa"	"19"	"Methadone"	"T40.3"	"Female"	"F"	154	29028157	0.5
	"Iowa"	"19"	"Methadone"	"T40.3"	"Male"	"M"	224	28358275	0.8
	"Iowa"	"19"	"Other synthetic narcotics"	"T40.4"	"Female"	"F"	215	29028157	0.7
	"Iowa"	"19"	"Other synthetic narcotics"	"T40.4"	"Male"	"M"	297	28358275	1.0
	"Kansas"	"20"	"Heroin"	"T40.1"	"Female"	"F"	27	26866270	0.1
	"Kansas"	"20"	"Heroin"	"T40.1"	"Male"	"M"	144	26446647	0.5
	"Kansas"	"20"	"Other opioids"	"T40.2"	"Female"	"F"	496	26866270	1.8
	"Kansas"	"20"	"Other opioids"	"T40.2"	"Male"	"M"	582	26446647	2.2
	"Kansas"	"20"	"Methadone"	"T40.3"	"Female"	"F"	188	26866270	0.7
	"Kansas"	"20"	"Methadone"	"T40.3"	"Male"	"M"	314	26446647	1.2
	"Kansas"	"20"	"Other synthetic narcotics"	"T40.4"	"Female"	"F"	209	26866270	0.8
	"Kansas"	"20"	"Other synthetic narcotics"	"T40.4"	"Male"	"M"	230	26446647	0.9
	"Kentucky"	"21"	"Heroin"	"T40.1"	"Female"	"F"	431	41195976	1.0
	"Kentucky"	"21"	"Heroin"	"T40.1"	"Male"	"M"	1189	39764874	3.0
	"Kentucky"	"21"	"Other opioids"	"T40.2"	"Female"	"F"	1728	41195976	4.2
	"Kentucky"	"21"	"Other opioids"	"T40.2"	"Male"	"M"	2881	39764874	7.2
	"Kentucky"	"21"	"Methadone"	"T40.3"	"Female"	"F"	552	41195976	1.3
	"Kentucky"	"21"	"Methadone"	"T40.3"	"Male"	"M"	1155	39764874	2.9
	"Kentucky"	"21"	"Other synthetic narcotics"	"T40.4"	"Female"	"F"	839	41195976	2.0
	"Kentucky"	"21"	"Other synthetic narcotics"	"T40.4"	"Male"	"M"	1532	39764874	3.9
	"Louisiana"	"22"	"Heroin"	"T40.1"	"Female"	"F"	188	44167539	0.4
	"Louisiana"	"22"	"Heroin"	"T40.1"	"Male"	"M"	623	42014748	1.5
	"Louisiana"	"22"	"Other opioids"	"T40.2"	"Female"	"F"	542	44167539	1.2
	"Louisiana"	"22"	"Other opioids"	"T40.2"	"Male"	"M"	761	42014748	1.8
	"Louisiana"	"22"	"Methadone"	"T40.3"	"Female"	"F"	212	44167539	0.5
	"Louisiana"	"22"	"Methadone"	"T40.3"	"Male"	"M"	513	42014748	1.2
	"Louisiana"	"22"	"Other synthetic narcotics"	"T40.4"	"Female"	"F"	189	44167539	0.4
	"Louisiana"	"22"	"Other synthetic narcotics"	"T40.4"	"Male"	"M"	328	42014748	0.8
	"Maine"	"23"	"Heroin"	"T40.1"	"Female"	"F"	62	12786398	0.5
	"Maine"	"23"	"Heroin"	"T40.1"	"Male"	"M"	220	12227577	1.8
	"Maine"	"23"	"Other opioids"	"T40.2"	"Female"	"F"	348	12786398	2.7
	"Maine"	"23"	"Other opioids"	"T40.2"	"Male"	"M"	627	12227577	5.1
	"Maine"	"23"	"Methadone"	"T40.3"	"Female"	"F"	241	12786398	1.9
	"Maine"	"23"	"Methadone"	"T40.3"	"Male"	"M"	433	12227577	3.5
	"Maine"	"23"	"Other synthetic narcotics"	"T40.4"	"Female"	"F"	229	12786398	1.8
	"Maine"	"23"	"Other synthetic narcotics"	"T40.4"	"Male"	"M"	601	12227577	4.9
	"Maryland"	"24"	"Heroin"	"T40.1"	"Female"	"F"	555	55853219	1.0
	"Maryland"	"24"	"Heroin"	"T40.1"	"Male"	"M"	2650	52311217	5.1
	"Maryland"	"24"	"Other opioids"	"T40.2"	"Female"	"F"	1395	55853219	2.5
	"Maryland"	"24"	"Other opioids"	"T40.2"	"Male"	"M"	2455	52311217	4.7
	"Maryland"	"24"	"Methadone"	"T40.3"	"Female"	"F"	918	55853219	1.6
	"Maryland"	"24"	"Methadone"	"T40.3"	"Male"	"M"	1521	52311217	2.9
	"Maryland"	"24"	"Other synthetic narcotics"	"T40.4"	"Female"	"F"	1050	55853219	1.9
	"Maryland"	"24"	"Other synthetic narcotics"	"T40.4"	"Male"	"M"	2673	52311217	5.1
	"Massachusetts"	"25"	"Heroin"	"T40.1"	"Female"	"F"	745	64142247	1.2
	"Massachusetts"	"25"	"Heroin"	"T40.1"	"Male"	"M"	2539	60090955	4.2
	"Massachusetts"	"25"	"Other opioids"	"T40.2"	"Female"	"F"	979	64142247	1.5
	"Massachusetts"	"25"	"Other opioids"	"T40.2"	"Male"	"M"	1697	60090955	2.8
	"Massachusetts"	"25"	"Methadone"	"T40.3"	"Female"	"F"	552	64142247	0.9
	"Massachusetts"	"25"	"Methadone"	"T40.3"	"Male"	"M"	844	60090955	1.4
	"Massachusetts"	"25"	"Other synthetic narcotics"	"T40.4"	"Female"	"F"	1403	64142247	2.2
	"Massachusetts"	"25"	"Other synthetic narcotics"	"T40.4"	"Male"	"M"	3930	60090955	6.5
	"Michigan"	"26"	"Heroin"	"T40.1"	"Female"	"F"	1315	96276152	1.4
	"Michigan"	"26"	"Heroin"	"T40.1"	"Male"	"M"	3847	92861560	4.1
	"Michigan"	"26"	"Other opioids"	"T40.2"	"Female"	"F"	1778	96276152	1.8
	"Michigan"	"26"	"Other opioids"	"T40.2"	"Male"	"M"	2367	92861560	2.5
	"Michigan"	"26"	"Methadone"	"T40.3"	"Female"	"F"	816	96276152	0.8
	"Michigan"	"26"	"Methadone"	"T40.3"	"Male"	"M"	1383	92861560	1.5
	"Michigan"	"26"	"Other synthetic narcotics"	"T40.4"	"Female"	"F"	1391	96276152	1.4
	"Michigan"	"26"	"Other synthetic narcotics"	"T40.4"	"Male"	"M"	2566	92861560	2.8
	"Minnesota"	"27"	"Heroin"	"T40.1"	"Female"	"F"	159	50081593	0.3
	"Minnesota"	"27"	"Heroin"	"T40.1"	"Male"	"M"	563	49364590	1.1
	"Minnesota"	"27"	"Other opioids"	"T40.2"	"Female"	"F"	672	50081593	1.3
	"Minnesota"	"27"	"Other opioids"	"T40.2"	"Male"	"M"	879	49364590	1.8
	"Minnesota"	"27"	"Methadone"	"T40.3"	"Female"	"F"	326	50081593	0.7
	"Minnesota"	"27"	"Methadone"	"T40.3"	"Male"	"M"	573	49364590	1.2
	"Minnesota"	"27"	"Other synthetic narcotics"	"T40.4"	"Female"	"F"	290	50081593	0.6
	"Minnesota"	"27"	"Other synthetic narcotics"	"T40.4"	"Male"	"M"	443	49364590	0.9
	"Mississippi"	"28"	"Heroin"	"T40.1"	"Female"	"F"	33	28683052	0.1
	"Mississippi"	"28"	"Heroin"	"T40.1"	"Male"	"M"	140	26986042	0.5
	"Mississippi"	"28"	"Other opioids"	"T40.2"	"Female"	"F"	350	28683052	1.2
	"Mississippi"	"28"	"Other opioids"	"T40.2"	"Male"	"M"	447	26986042	1.7
	"Mississippi"	"28"	"Methadone"	"T40.3"	"Female"	"F"	88	28683052	0.3
	"Mississippi"	"28"	"Methadone"	"T40.3"	"Male"	"M"	155	26986042	0.6
	"Mississippi"	"28"	"Other synthetic narcotics"	"T40.4"	"Female"	"F"	172	28683052	0.6
	"Mississippi"	"28"	"Other synthetic narcotics"	"T40.4"	"Male"	"M"	221	26986042	0.8
	"Missouri"	"29"	"Heroin"	"T40.1"	"Female"	"F"	652	57108302	1.1
	"Missouri"	"29"	"Heroin"	"T40.1"	"Male"	"M"	2302	54647155	4.2
	"Missouri"	"29"	"Other opioids"	"T40.2"	"Female"	"F"	1355	57108302	2.4
	"Missouri"	"29"	"Other opioids"	"T40.2"	"Male"	"M"	1836	54647155	3.4
	"Missouri"	"29"	"Methadone"	"T40.3"	"Female"	"F"	404	57108302	0.7
	"Missouri"	"29"	"Methadone"	"T40.3"	"Male"	"M"	665	54647155	1.2
	"Missouri"	"29"	"Other synthetic narcotics"	"T40.4"	"Female"	"F"	821	57108302	1.4
	"Missouri"	"29"	"Other synthetic narcotics"	"T40.4"	"Male"	"M"	1411	54647155	2.6
	"Montana"	"30"	"Heroin"	"T40.1"	"Female"	"F"	12	9200058	Unreliable
	"Montana"	"30"	"Heroin"	"T40.1"	"Male"	"M"	35	9243269	0.4
	"Montana"	"30"	"Other opioids"	"T40.2"	"Female"	"F"	194	9200058	2.1
	"Montana"	"30"	"Other opioids"	"T40.2"	"Male"	"M"	214	9243269	2.3
	"Montana"	"30"	"Methadone"	"T40.3"	"Female"	"F"	109	9200058	1.2
	"Montana"	"30"	"Methadone"	"T40.3"	"Male"	"M"	180	9243269	1.9
	"Montana"	"30"	"Other synthetic narcotics"	"T40.4"	"Female"	"F"	82	9200058	0.9
	"Montana"	"30"	"Other synthetic narcotics"	"T40.4"	"Male"	"M"	83	9243269	0.9
	"Nebraska"	"31"	"Heroin"	"T40.1"	"Female"	"F"	Suppressed	17279896	Suppressed
	"Nebraska"	"31"	"Heroin"	"T40.1"	"Male"	"M"	37	16996871	0.2
	"Nebraska"	"31"	"Other opioids"	"T40.2"	"Female"	"F"	203	17279896	1.2
	"Nebraska"	"31"	"Other opioids"	"T40.2"	"Male"	"M"	218	16996871	1.3
	"Nebraska"	"31"	"Methadone"	"T40.3"	"Female"	"F"	67	17279896	0.4
	"Nebraska"	"31"	"Methadone"	"T40.3"	"Male"	"M"	100	16996871	0.6
	"Nebraska"	"31"	"Other synthetic narcotics"	"T40.4"	"Female"	"F"	89	17279896	0.5
	"Nebraska"	"31"	"Other synthetic narcotics"	"T40.4"	"Male"	"M"	97	16996871	0.6
	"Nevada"	"32"	"Heroin"	"T40.1"	"Female"	"F"	173	23911149	0.7
	"Nevada"	"32"	"Heroin"	"T40.1"	"Male"	"M"	690	24424237	2.8
	"Nevada"	"32"	"Other opioids"	"T40.2"	"Female"	"F"	1709	23911149	7.1
	"Nevada"	"32"	"Other opioids"	"T40.2"	"Male"	"M"	1943	24424237	8.0
	"Nevada"	"32"	"Methadone"	"T40.3"	"Female"	"F"	593	23911149	2.5
	"Nevada"	"32"	"Methadone"	"T40.3"	"Male"	"M"	801	24424237	3.3
	"Nevada"	"32"	"Other synthetic narcotics"	"T40.4"	"Female"	"F"	308	23911149	1.3
	"Nevada"	"32"	"Other synthetic narcotics"	"T40.4"	"Male"	"M"	279	24424237	1.1
	"New Hampshire"	"33"	"Heroin"	"T40.1"	"Female"	"F"	113	12520762	0.9
	"New Hampshire"	"33"	"Heroin"	"T40.1"	"Male"	"M"	355	12196886	2.9
	"New Hampshire"	"33"	"Other opioids"	"T40.2"	"Female"	"F"	339	12520762	2.7
	"New Hampshire"	"33"	"Other opioids"	"T40.2"	"Male"	"M"	487	12196886	4.0
	"New Hampshire"	"33"	"Methadone"	"T40.3"	"Female"	"F"	193	12520762	1.5
	"New Hampshire"	"33"	"Methadone"	"T40.3"	"Male"	"M"	352	12196886	2.9
	"New Hampshire"	"33"	"Other synthetic narcotics"	"T40.4"	"Female"	"F"	400	12520762	3.2
	"New Hampshire"	"33"	"Other synthetic narcotics"	"T40.4"	"Male"	"M"	993	12196886	8.1
	"New Jersey"	"34"	"Heroin"	"T40.1"	"Female"	"F"	1183	85051119	1.4
	"New Jersey"	"34"	"Heroin"	"T40.1"	"Male"	"M"	4291	80685609	5.3
	"New Jersey"	"34"	"Other opioids"	"T40.2"	"Female"	"F"	1029	85051119	1.2
	"New Jersey"	"34"	"Other opioids"	"T40.2"	"Male"	"M"	2163	80685609	2.7
	"New Jersey"	"34"	"Methadone"	"T40.3"	"Female"	"F"	386	85051119	0.5
	"New Jersey"	"34"	"Methadone"	"T40.3"	"Male"	"M"	637	80685609	0.8
	"New Jersey"	"34"	"Other synthetic narcotics"	"T40.4"	"Female"	"F"	743	85051119	0.9
	"New Jersey"	"34"	"Other synthetic narcotics"	"T40.4"	"Male"	"M"	2110	80685609	2.6
	"New Mexico"	"35"	"Heroin"	"T40.1"	"Female"	"F"	244	19069938	1.3
	"New Mexico"	"35"	"Heroin"	"T40.1"	"Male"	"M"	1011	18609510	5.4
	"New Mexico"	"35"	"Other opioids"	"T40.2"	"Female"	"F"	979	19069938	5.1
	"New Mexico"	"35"	"Other opioids"	"T40.2"	"Male"	"M"	1797	18609510	9.7
	"New Mexico"	"35"	"Methadone"	"T40.3"	"Female"	"F"	246	19069938	1.3
	"New Mexico"	"35"	"Methadone"	"T40.3"	"Male"	"M"	429	18609510	2.3
	"New Mexico"	"35"	"Other synthetic narcotics"	"T40.4"	"Female"	"F"	254	19069938	1.3
	"New Mexico"	"35"	"Other synthetic narcotics"	"T40.4"	"Male"	"M"	325	18609510	1.7
	"New York"	"36"	"Heroin"	"T40.1"	"Female"	"F"	1421	189695610	0.7
	"New York"	"36"	"Heroin"	"T40.1"	"Male"	"M"	5901	177822187	3.3
	"New York"	"36"	"Other opioids"	"T40.2"	"Female"	"F"	2647	189695610	1.4
	"New York"	"36"	"Other opioids"	"T40.2"	"Male"	"M"	4824	177822187	2.7
	"New York"	"36"	"Methadone"	"T40.3"	"Female"	"F"	1404	189695610	0.7
	"New York"	"36"	"Methadone"	"T40.3"	"Male"	"M"	2869	177822187	1.6
	"New York"	"36"	"Other synthetic narcotics"	"T40.4"	"Female"	"F"	1717	189695610	0.9
	"New York"	"36"	"Other synthetic narcotics"	"T40.4"	"Male"	"M"	4531	177822187	2.5
	"North Carolina"	"37"	"Heroin"	"T40.1"	"Female"	"F"	664	89237584	0.7
	"North Carolina"	"37"	"Heroin"	"T40.1"	"Male"	"M"	2129	84971785	2.5
	"North Carolina"	"37"	"Other opioids"	"T40.2"	"Female"	"F"	2708	89237584	3.0
	"North Carolina"	"37"	"Other opioids"	"T40.2"	"Male"	"M"	3515	84971785	4.1
	"North Carolina"	"37"	"Methadone"	"T40.3"	"Female"	"F"	1315	89237584	1.5
	"North Carolina"	"37"	"Methadone"	"T40.3"	"Male"	"M"	2355	84971785	2.8
	"North Carolina"	"37"	"Other synthetic narcotics"	"T40.4"	"Female"	"F"	1510	89237584	1.7
	"North Carolina"	"37"	"Other synthetic narcotics"	"T40.4"	"Male"	"M"	2467	84971785	2.9
	"North Dakota"	"38"	"Heroin"	"T40.1"	"Female"	"F"	Suppressed	6380274	Suppressed
	"North Dakota"	"38"	"Heroin"	"T40.1"	"Male"	"M"	21	6527105	0.3
	"North Dakota"	"38"	"Other opioids"	"T40.2"	"Female"	"F"	67	6380274	1.1
	"North Dakota"	"38"	"Other opioids"	"T40.2"	"Male"	"M"	79	6527105	1.2
	"North Dakota"	"38"	"Methadone"	"T40.3"	"Female"	"F"	14	6380274	Unreliable
	"North Dakota"	"38"	"Methadone"	"T40.3"	"Male"	"M"	19	6527105	Unreliable
	"North Dakota"	"38"	"Other synthetic narcotics"	"T40.4"	"Female"	"F"	43	6380274	0.7
	"North Dakota"	"38"	"Other synthetic narcotics"	"T40.4"	"Male"	"M"	53	6527105	0.8
	"Ohio"	"39"	"Heroin"	"T40.1"	"Female"	"F"	2319	111918437	2.1
	"Ohio"	"39"	"Heroin"	"T40.1"	"Male"	"M"	6717	106618833	6.3
	"Ohio"	"39"	"Other opioids"	"T40.2"	"Female"	"F"	2887	111918437	2.6
	"Ohio"	"39"	"Other opioids"	"T40.2"	"Male"	"M"	4391	106618833	4.1
	"Ohio"	"39"	"Methadone"	"T40.3"	"Female"	"F"	820	111918437	0.7
	"Ohio"	"39"	"Methadone"	"T40.3"	"Male"	"M"	1355	106618833	1.3
	"Ohio"	"39"	"Other synthetic narcotics"	"T40.4"	"Female"	"F"	3025	111918437	2.7
	"Ohio"	"39"	"Other synthetic narcotics"	"T40.4"	"Male"	"M"	6089	106618833	5.7
	"Oklahoma"	"40"	"Heroin"	"T40.1"	"Female"	"F"	54	35351697	0.2
	"Oklahoma"	"40"	"Heroin"	"T40.1"	"Male"	"M"	268	34538054	0.8
	"Oklahoma"	"40"	"Other opioids"	"T40.2"	"Female"	"F"	2044	35351697	5.8
	"Oklahoma"	"40"	"Other opioids"	"T40.2"	"Male"	"M"	2392	34538054	6.9
