county,state,county-code,multiple-cause-of-death,multiple-cause-of-death-code,deaths,population,crude-rate
Butler County,Alabama,1013,Other opioids,T40.2,Suppressed,245967,Suppressed
Butler County,Alabama,1013,Methadone,T40.3,Suppressed,245967,Suppressed
Butler County,Alabama,1013,Other synthetic narcotics,T40.4,Suppressed,245967,Suppressed
Calhoun County,Alabama,1015,Heroin,T40.1,Suppressed,1398512,Suppressed
Calhoun County,Alabama,1015,Other opioids,T40.2,Suppressed,1398512,Suppressed
Calhoun County,Alabama,1015,Methadone,T40.3,Suppressed,1398512,Suppressed
Calhoun County,Alabama,1015,Other synthetic narcotics,T40.4,Suppressed,1398512,Suppressed
Chambers County,Alabama,1017,Heroin,T40.1,Suppressed,410874,Suppressed
Chambers County,Alabama,1017,Other opioids,T40.2,Suppressed,410874,Suppressed
Chambers County,Alabama,1017,Methadone,T40.3,Suppressed,410874,Suppressed
Chambers County,Alabama,1017,Other synthetic narcotics,T40.4,Suppressed,410874,Suppressed
Cherokee County,Alabama,1019,Heroin,T40.1,Suppressed,310257,Suppressed
Cherokee County,Alabama,1019,Other opioids,T40.2,Suppressed,310257,Suppressed
Cherokee County,Alabama,1019,Methadone,T40.3,Suppressed,310257,Suppressed
Cherokee County,Alabama,1019,Other synthetic narcotics,T40.4,Suppressed,310257,Suppressed
Chilton County,Alabama,1021,Heroin,T40.1,Suppressed,523112,Suppressed
Chilton County,Alabama,1021,Other opioids,T40.2,Suppressed,523112,Suppressed
Chilton County,Alabama,1021,Methadone,T40.3,Suppressed,523112,Suppressed
Chilton County,Alabama,1021,Other synthetic narcotics,T40.4,Suppressed,523112,Suppressed
Choctaw County,Alabama,1023,Heroin,T40.1,Suppressed,163695,Suppressed
Choctaw County,Alabama,1023,Other opioids,T40.2,Suppressed,163695,Suppressed
Choctaw County,Alabama,1023,Methadone,T40.3,Suppressed,163695,Suppressed
Choctaw County,Alabama,1023,Other synthetic narcotics,T40.4,Suppressed,163695,Suppressed
Clarke County,Alabama,1025,Heroin,T40.1,Suppressed,305503,Suppressed
Clarke County,Alabama,1025,Other opioids,T40.2,Suppressed,305503,Suppressed
Clarke County,Alabama,1025,Methadone,T40.3,Suppressed,305503,Suppressed
Clarke County,Alabama,1025,Other synthetic narcotics,T40.4,Suppressed,305503,Suppressed
Clay County,Alabama,1027,Heroin,T40.1,Suppressed,164986,Suppressed
Clay County,Alabama,1027,Other opioids,T40.2,Suppressed,164986,Suppressed
Clay County,Alabama,1027,Methadone,T40.3,Suppressed,164986,Suppressed
Clay County,Alabama,1027,Other synthetic narcotics,T40.4,Suppressed,164986,Suppressed
Cleburne County,Alabama,1029,Heroin,T40.1,Suppressed,178684,Suppressed
Cleburne County,Alabama,1029,Other opioids,T40.2,Suppressed,178684,Suppressed
Cleburne County,Alabama,1029,Methadone,T40.3,Suppressed,178684,Suppressed
Cleburne County,Alabama,1029,Other synthetic narcotics,T40.4,Suppressed,178684,Suppressed
Coffee County,Alabama,1031,Heroin,T40.1,Suppressed,599526,Suppressed
Coffee County,Alabama,1031,Other opioids,T40.2,Suppressed,599526,Suppressed
Coffee County,Alabama,1031,Methadone,T40.3,Suppressed,599526,Suppressed
Coffee County,Alabama,1031,Other synthetic narcotics,T40.4,Suppressed,599526,Suppressed
Colbert County,Alabama,1033,Heroin,T40.1,Suppressed,653317,Suppressed
Colbert County,Alabama,1033,Other opioids,T40.2,Suppressed,653317,Suppressed
Colbert County,Alabama,1033,Methadone,T40.3,Suppressed,653317,Suppressed
Colbert County,Alabama,1033,Other synthetic narcotics,T40.4,Suppressed,653317,Suppressed
Conecuh County,Alabama,1035,Heroin,T40.1,Suppressed,156113,Suppressed
Conecuh County,Alabama,1035,Other opioids,T40.2,Suppressed,156113,Suppressed
Conecuh County,Alabama,1035,Methadone,T40.3,Suppressed,156113,Suppressed
Conecuh County,Alabama,1035,Other synthetic narcotics,T40.4,Suppressed,156113,Suppressed
Coosa County,Alabama,1037,Heroin,T40.1,Suppressed,132854,Suppressed
Coosa County,Alabama,1037,Other opioids,T40.2,Suppressed,132854,Suppressed
Coosa County,Alabama,1037,Methadone,T40.3,Suppressed,132854,Suppressed
Coosa County,Alabama,1037,Other synthetic narcotics,T40.4,Suppressed,132854,Suppressed
Covington County,Alabama,1039,Heroin,T40.1,Suppressed,452228,Suppressed
Covington County,Alabama,1039,Other opioids,T40.2,Suppressed,452228,Suppressed
Covington County,Alabama,1039,Methadone,T40.3,Suppressed,452228,Suppressed
Covington County,Alabama,1039,Other synthetic narcotics,T40.4,Suppressed,452228,Suppressed
Crenshaw County,Alabama,1041,Heroin,T40.1,Suppressed,167392,Suppressed
Crenshaw County,Alabama,1041,Other opioids,T40.2,Suppressed,167392,Suppressed
Crenshaw County,Alabama,1041,Methadone,T40.3,Suppressed,167392,Suppressed
Crenshaw County,Alabama,1041,Other synthetic narcotics,T40.4,Suppressed,167392,Suppressed
Cullman County,Alabama,1043,Heroin,T40.1,14,969957,Unreliable
Cullman County,Alabama,1043,Other opioids,T40.2,11,969957,Unreliable
Cullman County,Alabama,1043,Methadone,T40.3,Suppressed,969957,Suppressed
Cullman County,Alabama,1043,Other synthetic narcotics,T40.4,Suppressed,969957,Suppressed
Dale County,Alabama,1045,Heroin,T40.1,Suppressed,596414,Suppressed
Dale County,Alabama,1045,Other opioids,T40.2,Suppressed,596414,Suppressed
Dale County,Alabama,1045,Methadone,T40.3,Suppressed,596414,Suppressed
Dale County,Alabama,1045,Other synthetic narcotics,T40.4,Suppressed,596414,Suppressed
Dallas County,Alabama,1047,Heroin,T40.1,Suppressed,510618,Suppressed
Dallas County,Alabama,1047,Other opioids,T40.2,Suppressed,510618,Suppressed
Dallas County,Alabama,1047,Methadone,T40.3,Suppressed,510618,Suppressed
Dallas County,Alabama,1047,Other synthetic narcotics,T40.4,Suppressed,510618,Suppressed
DeKalb County,Alabama,1049,Heroin,T40.1,Suppressed,848326,Suppressed
DeKalb County,Alabama,1049,Other opioids,T40.2,21,848326,2.5
DeKalb County,Alabama,1049,Methadone,T40.3,11,848326,Unreliable
DeKalb County,Alabama,1049,Other synthetic narcotics,T40.4,Suppressed,848326,Suppressed
Elmore County,Alabama,1051,Heroin,T40.1,Suppressed,955617,Suppressed
Elmore County,Alabama,1051,Other opioids,T40.2,Suppressed,955617,Suppressed
Elmore County,Alabama,1051,Methadone,T40.3,Suppressed,955617,Suppressed
Elmore County,Alabama,1051,Other synthetic narcotics,T40.4,Suppressed,955617,Suppressed
Escambia County,Alabama,1053,Heroin,T40.1,Suppressed,454778,Suppressed
Escambia County,Alabama,1053,Other opioids,T40.2,37,454778,8.1
Escambia County,Alabama,1053,Methadone,T40.3,18,454778,Unreliable
Escambia County,Alabama,1053,Other synthetic narcotics,T40.4,10,454778,Unreliable
Etowah County,Alabama,1055,Heroin,T40.1,Suppressed,1244829,Suppressed
Etowah County,Alabama,1055,Other opioids,T40.2,20,1244829,1.6
Etowah County,Alabama,1055,Methadone,T40.3,10,1244829,Unreliable
Etowah County,Alabama,1055,Other synthetic narcotics,T40.4,21,1244829,1.7
Fayette County,Alabama,1057,Heroin,T40.1,Suppressed,205103,Suppressed
Fayette County,Alabama,1057,Other opioids,T40.2,Suppressed,205103,Suppressed
Fayette County,Alabama,1057,Methadone,T40.3,Suppressed,205103,Suppressed
Fayette County,Alabama,1057,Other synthetic narcotics,T40.4,Suppressed,205103,Suppressed
Franklin County,Alabama,1059,Heroin,T40.1,Suppressed,378487,Suppressed
Franklin County,Alabama,1059,Other opioids,T40.2,Suppressed,378487,Suppressed
Franklin County,Alabama,1059,Methadone,T40.3,Suppressed,378487,Suppressed
Franklin County,Alabama,1059,Other synthetic narcotics,T40.4,Suppressed,378487,Suppressed
Geneva County,Alabama,1061,Heroin,T40.1,Suppressed,319645,Suppressed
Geneva County,Alabama,1061,Other opioids,T40.2,Suppressed,319645,Suppressed
Geneva County,Alabama,1061,Methadone,T40.3,Suppressed,319645,Suppressed
Geneva County,Alabama,1061,Other synthetic narcotics,T40.4,Suppressed,319645,Suppressed
Greene County,Alabama,1063,Heroin,T40.1,Suppressed,106657,Suppressed
Greene County,Alabama,1063,Other opioids,T40.2,Suppressed,106657,Suppressed
Greene County,Alabama,1063,Methadone,T40.3,Suppressed,106657,Suppressed
Greene County,Alabama,1063,Other synthetic narcotics,T40.4,Suppressed,106657,Suppressed
Hale County,Alabama,1065,Heroin,T40.1,Suppressed,187121,Suppressed
Hale County,Alabama,1065,Other opioids,T40.2,Suppressed,187121,Suppressed
Hale County,Alabama,1065,Methadone,T40.3,Suppressed,187121,Suppressed
Hale County,Alabama,1065,Other synthetic narcotics,T40.4,Suppressed,187121,Suppressed
Henry County,Alabama,1067,Heroin,T40.1,Suppressed,206452,Suppressed
Henry County,Alabama,1067,Other opioids,T40.2,Suppressed,206452,Suppressed
Henry County,Alabama,1067,Methadone,T40.3,Suppressed,206452,Suppressed
Henry County,Alabama,1067,Other synthetic narcotics,T40.4,Suppressed,206452,Suppressed
Houston County,Alabama,1069,Heroin,T40.1,Suppressed,1221010,Suppressed
Houston County,Alabama,1069,Other opioids,T40.2,12,1221010,Unreliable
Houston County,Alabama,1069,Methadone,T40.3,10,1221010,Unreliable
Houston County,Alabama,1069,Other synthetic narcotics,T40.4,Suppressed,1221010,Suppressed
Jackson County,Alabama,1071,Heroin,T40.1,Suppressed,635421,Suppressed
Jackson County,Alabama,1071,Other opioids,T40.2,Suppressed,635421,Suppressed
Jackson County,Alabama,1071,Methadone,T40.3,Suppressed,635421,Suppressed
Jackson County,Alabama,1071,Other synthetic narcotics,T40.4,Suppressed,635421,Suppressed
Jefferson County,Alabama,1073,Heroin,T40.1,408,7902770,5.2
Jefferson County,Alabama,1073,Other opioids,T40.2,287,7902770,3.6
Jefferson County,Alabama,1073,Methadone,T40.3,180,7902770,2.3
Jefferson County,Alabama,1073,Other synthetic narcotics,T40.4,297,7902770,3.8
Lamar County,Alabama,1075,Heroin,T40.1,Suppressed,172411,Suppressed
Lamar County,Alabama,1075,Other opioids,T40.2,Suppressed,172411,Suppressed
Lamar County,Alabama,1075,Methadone,T40.3,Suppressed,172411,Suppressed
Lamar County,Alabama,1075,Other synthetic narcotics,T40.4,Suppressed,172411,Suppressed
Lauderdale County,Alabama,1077,Heroin,T40.1,Suppressed,1107506,Suppressed
Lauderdale County,Alabama,1077,Other opioids,T40.2,10,1107506,Unreliable
Lauderdale County,Alabama,1077,Methadone,T40.3,Suppressed,1107506,Suppressed
Lauderdale County,Alabama,1077,Other synthetic narcotics,T40.4,Suppressed,1107506,Suppressed
Lawrence County,Alabama,1079,Heroin,T40.1,Suppressed,405598,Suppressed
Lawrence County,Alabama,1079,Other opioids,T40.2,Suppressed,405598,Suppressed
Lawrence County,Alabama,1079,Methadone,T40.3,Suppressed,405598,Suppressed
Lawrence County,Alabama,1079,Other synthetic narcotics,T40.4,Suppressed,405598,Suppressed
Lee County,Alabama,1081,Heroin,T40.1,Suppressed,1748019,Suppressed
Lee County,Alabama,1081,Other opioids,T40.2,11,1748019,Unreliable
Lee County,Alabama,1081,Methadone,T40.3,Suppressed,1748019,Suppressed
Lee County,Alabama,1081,Other synthetic narcotics,T40.4,Suppressed,1748019,Suppressed
Limestone County,Alabama,1083,Heroin,T40.1,Suppressed,1024130,Suppressed
Limestone County,Alabama,1083,Other opioids,T40.2,14,1024130,Unreliable
Limestone County,Alabama,1083,Methadone,T40.3,10,1024130,Unreliable
Limestone County,Alabama,1083,Other synthetic narcotics,T40.4,Suppressed,1024130,Suppressed
Lowndes County,Alabama,1085,Heroin,T40.1,Suppressed,132874,Suppressed
Lowndes County,Alabama,1085,Other opioids,T40.2,Suppressed,132874,Suppressed
Lowndes County,Alabama,1085,Methadone,T40.3,Suppressed,132874,Suppressed
Lowndes County,Alabama,1085,Other synthetic narcotics,T40.4,Suppressed,132874,Suppressed
Macon County,Alabama,1087,Heroin,T40.1,Suppressed,246061,Suppressed
Macon County,Alabama,1087,Other opioids,T40.2,Suppressed,246061,Suppressed
Macon County,Alabama,1087,Methadone,T40.3,Suppressed,246061,Suppressed
Macon County,Alabama,1087,Other synthetic narcotics,T40.4,Suppressed,246061,Suppressed
Madison County,Alabama,1089,Heroin,T40.1,10,4065706,Unreliable
Madison County,Alabama,1089,Other opioids,T40.2,28,4065706,0.7
Madison County,Alabama,1089,Methadone,T40.3,17,4065706,Unreliable
Madison County,Alabama,1089,Other synthetic narcotics,T40.4,30,4065706,0.7
Marengo County,Alabama,1091,Heroin,T40.1,Suppressed,246968,Suppressed
Marengo County,Alabama,1091,Other opioids,T40.2,Suppressed,246968,Suppressed
Marengo County,Alabama,1091,Methadone,T40.3,Suppressed,246968,Suppressed
Marengo County,Alabama,1091,Other synthetic narcotics,T40.4,Suppressed,246968,Suppressed
Marion County,Alabama,1093,Heroin,T40.1,Suppressed,365562,Suppressed
Marion County,Alabama,1093,Other opioids,T40.2,Suppressed,365562,Suppressed
Marion County,Alabama,1093,Methadone,T40.3,Suppressed,365562,Suppressed
Marion County,Alabama,1093,Other synthetic narcotics,T40.4,Suppressed,365562,Suppressed
Marshall County,Alabama,1095,Heroin,T40.1,Suppressed,1117886,Suppressed
Marshall County,Alabama,1095,Other opioids,T40.2,Suppressed,1117886,Suppressed
Marshall County,Alabama,1095,Methadone,T40.3,Suppressed,1117886,Suppressed
Marshall County,Alabama,1095,Other synthetic narcotics,T40.4,Suppressed,1117886,Suppressed
Mobile County,Alabama,1097,Heroin,T40.1,Suppressed,4942714,Suppressed
Mobile County,Alabama,1097,Other opioids,T40.2,120,4942714,2.4
Mobile County,Alabama,1097,Methadone,T40.3,105,4942714,2.1
Mobile County,Alabama,1097,Other synthetic narcotics,T40.4,32,4942714,0.6
Monroe County,Alabama,1099,Heroin,T40.1,Suppressed,270793,Suppressed
Monroe County,Alabama,1099,Other opioids,T40.2,Suppressed,270793,Suppressed
Monroe County,Alabama,1099,Methadone,T40.3,Suppressed,270793,Suppressed
Monroe County,Alabama,1099,Other synthetic narcotics,T40.4,Suppressed,270793,Suppressed
Montgomery County,Alabama,1101,Heroin,T40.1,Suppressed,2734153,Suppressed
Montgomery County,Alabama,1101,Other opioids,T40.2,12,2734153,Unreliable
Montgomery County,Alabama,1101,Methadone,T40.3,Suppressed,2734153,Suppressed
Montgomery County,Alabama,1101,Other synthetic narcotics,T40.4,Suppressed,2734153,Suppressed
Morgan County,Alabama,1103,Heroin,T40.1,Suppressed,1425163,Suppressed
Morgan County,Alabama,1103,Other opioids,T40.2,Suppressed,1425163,Suppressed
Morgan County,Alabama,1103,Methadone,T40.3,Suppressed,1425163,Suppressed
Morgan County,Alabama,1103,Other synthetic narcotics,T40.4,Suppressed,1425163,Suppressed
Perry County,Alabama,1105,Heroin,T40.1,Suppressed,122419,Suppressed
Perry County,Alabama,1105,Other opioids,T40.2,Suppressed,122419,Suppressed
Perry County,Alabama,1105,Methadone,T40.3,Suppressed,122419,Suppressed
Perry County,Alabama,1105,Other synthetic narcotics,T40.4,Suppressed,122419,Suppressed
Pickens County,Alabama,1107,Heroin,T40.1,Suppressed,239512,Suppressed
Pickens County,Alabama,1107,Other opioids,T40.2,Suppressed,239512,Suppressed
Pickens County,Alabama,1107,Methadone,T40.3,Suppressed,239512,Suppressed
Pickens County,Alabama,1107,Other synthetic narcotics,T40.4,Suppressed,239512,Suppressed
Pike County,Alabama,1109,Heroin,T40.1,Suppressed,393102,Suppressed
Pike County,Alabama,1109,Other opioids,T40.2,Suppressed,393102,Suppressed
Pike County,Alabama,1109,Methadone,T40.3,Suppressed,393102,Suppressed
Pike County,Alabama,1109,Other synthetic narcotics,T40.4,Suppressed,393102,Suppressed
Randolph County,Alabama,1111,Heroin,T40.1,Suppressed,272826,Suppressed
Randolph County,Alabama,1111,Other opioids,T40.2,Suppressed,272826,Suppressed
Randolph County,Alabama,1111,Methadone,T40.3,Suppressed,272826,Suppressed
Randolph County,Alabama,1111,Other synthetic narcotics,T40.4,Suppressed,272826,Suppressed
Russell County,Alabama,1113,Heroin,T40.1,Suppressed,664538,Suppressed
Russell County,Alabama,1113,Other opioids,T40.2,Suppressed,664538,Suppressed
Russell County,Alabama,1113,Methadone,T40.3,Suppressed,664538,Suppressed
Russell County,Alabama,1113,Other synthetic narcotics,T40.4,Suppressed,664538,Suppressed
St. Clair County,Alabama,1115,Heroin,T40.1,16,1009053,Unreliable
St. Clair County,Alabama,1115,Other opioids,T40.2,25,1009053,2.5
St. Clair County,Alabama,1115,Methadone,T40.3,23,1009053,2.3
St. Clair County,Alabama,1115,Other synthetic narcotics,T40.4,19,1009053,Unreliable
Shelby County,Alabama,1117,Heroin,T40.1,42,2381311,1.8
Shelby County,Alabama,1117,Other opioids,T40.2,84,2381311,3.5
Shelby County,Alabama,1117,Methadone,T40.3,45,2381311,1.9
Shelby County,Alabama,1117,Other synthetic narcotics,T40.4,38,2381311,1.6
Sumter County,Alabama,1119,Heroin,T40.1,Suppressed,161638,Suppressed
Sumter County,Alabama,1119,Other opioids,T40.2,Suppressed,161638,Suppressed
Sumter County,Alabama,1119,Methadone,T40.3,Suppressed,161638,Suppressed
Sumter County,Alabama,1119,Other synthetic narcotics,T40.4,Suppressed,161638,Suppressed
Talladega County,Alabama,1121,Heroin,T40.1,Suppressed,978791,Suppressed
Talladega County,Alabama,1121,Other opioids,T40.2,11,978791,Unreliable
Talladega County,Alabama,1121,Methadone,T40.3,Suppressed,978791,Suppressed
Talladega County,Alabama,1121,Other synthetic narcotics,T40.4,Suppressed,978791,Suppressed
Tallapoosa County,Alabama,1123,Heroin,T40.1,Suppressed,495183,Suppressed
Tallapoosa County,Alabama,1123,Other opioids,T40.2,10,495183,Unreliable
Tallapoosa County,Alabama,1123,Methadone,T40.3,Suppressed,495183,Suppressed
Tallapoosa County,Alabama,1123,Other synthetic narcotics,T40.4,Suppressed,495183,Suppressed
Tuscaloosa County,Alabama,1125,Heroin,T40.1,10,2358003,Unreliable
Tuscaloosa County,Alabama,1125,Other opioids,T40.2,38,2358003,1.6
Tuscaloosa County,Alabama,1125,Methadone,T40.3,36,2358003,1.5
Tuscaloosa County,Alabama,1125,Other synthetic narcotics,T40.4,16,2358003,Unreliable
Walker County,Alabama,1127,Heroin,T40.1,10,796804,Unreliable
Walker County,Alabama,1127,Other opioids,T40.2,32,796804,4
Walker County,Alabama,1127,Methadone,T40.3,50,796804,6.3
Walker County,Alabama,1127,Other synthetic narcotics,T40.4,19,796804,Unreliable
Washington County,Alabama,1129,Heroin,T40.1,Suppressed,206021,Suppressed
Washington County,Alabama,1129,Other opioids,T40.2,Suppressed,206021,Suppressed
Washington County,Alabama,1129,Methadone,T40.3,Suppressed,206021,Suppressed
Washington County,Alabama,1129,Other synthetic narcotics,T40.4,Suppressed,206021,Suppressed
Wilcox County,Alabama,1131,Heroin,T40.1,Suppressed,138199,Suppressed
Wilcox County,Alabama,1131,Other opioids,T40.2,Suppressed,138199,Suppressed
Wilcox County,Alabama,1131,Methadone,T40.3,Suppressed,138199,Suppressed
Wilcox County,Alabama,1131,Other synthetic narcotics,T40.4,Suppressed,138199,Suppressed
Winston County,Alabama,1133,Heroin,T40.1,Suppressed,291660,Suppressed
Winston County,Alabama,1133,Other opioids,T40.2,Suppressed,291660,Suppressed
Winston County,Alabama,1133,Methadone,T40.3,Suppressed,291660,Suppressed
Winston County,Alabama,1133,Other synthetic narcotics,T40.4,Suppressed,291660,Suppressed
Aleutians East Borough,Alaska,2013,Heroin,T40.1,Suppressed,37814,Suppressed
Aleutians East Borough,Alaska,2013,Other opioids,T40.2,Suppressed,37814,Suppressed
Aleutians East Borough,Alaska,2013,Methadone,T40.3,Suppressed,37814,Suppressed
Aleutians East Borough,Alaska,2013,Other synthetic narcotics,T40.4,Suppressed,37814,Suppressed
Aleutians West Census Area,Alaska,2016,Heroin,T40.1,Suppressed,67039,Suppressed
Aleutians West Census Area,Alaska,2016,Other opioids,T40.2,Suppressed,67039,Suppressed
Aleutians West Census Area,Alaska,2016,Methadone,T40.3,Suppressed,67039,Suppressed
Aleutians West Census Area,Alaska,2016,Other synthetic narcotics,T40.4,Suppressed,67039,Suppressed
Anchorage Borough,Alaska,2020,Heroin,T40.1,126,3507317,3.6
Anchorage Borough,Alaska,2020,Other opioids,T40.2,209,3507317,6
Anchorage Borough,Alaska,2020,Methadone,T40.3,52,3507317,1.5
Anchorage Borough,Alaska,2020,Other synthetic narcotics,T40.4,65,3507317,1.9
Bethel Census Area,Alaska,2050,Heroin,T40.1,Suppressed,208891,Suppressed
Bethel Census Area,Alaska,2050,Other opioids,T40.2,Suppressed,208891,Suppressed
Bethel Census Area,Alaska,2050,Methadone,T40.3,Suppressed,208891,Suppressed
Bethel Census Area,Alaska,2050,Other synthetic narcotics,T40.4,Suppressed,208891,Suppressed
Bristol Bay Borough,Alaska,2060,Heroin,T40.1,Suppressed,11795,Suppressed
Bristol Bay Borough,Alaska,2060,Other opioids,T40.2,Suppressed,11795,Suppressed
Bristol Bay Borough,Alaska,2060,Methadone,T40.3,Suppressed,11795,Suppressed
Bristol Bay Borough,Alaska,2060,Other synthetic narcotics,T40.4,Suppressed,11795,Suppressed
Denali Borough,Alaska,2068,Heroin,T40.1,Suppressed,22550,Suppressed
Denali Borough,Alaska,2068,Other opioids,T40.2,Suppressed,22550,Suppressed
Denali Borough,Alaska,2068,Methadone,T40.3,Suppressed,22550,Suppressed
Denali Borough,Alaska,2068,Other synthetic narcotics,T40.4,Suppressed,22550,Suppressed
Dillingham Census Area,Alaska,2070,Heroin,T40.1,Suppressed,58947,Suppressed
Dillingham Census Area,Alaska,2070,Other opioids,T40.2,Suppressed,58947,Suppressed
Dillingham Census Area,Alaska,2070,Methadone,T40.3,Suppressed,58947,Suppressed
Dillingham Census Area,Alaska,2070,Other synthetic narcotics,T40.4,Suppressed,58947,Suppressed
Fairbanks North Star Borough,Alaska,2090,Heroin,T40.1,12,1170657,Unreliable
Fairbanks North Star Borough,Alaska,2090,Other opioids,T40.2,47,1170657,4
Fairbanks North Star Borough,Alaska,2090,Methadone,T40.3,16,1170657,Unreliable
Fairbanks North Star Borough,Alaska,2090,Other synthetic narcotics,T40.4,13,1170657,Unreliable
Haines Borough,Alaska,2100,Heroin,T40.1,Suppressed,29897,Suppressed
Haines Borough,Alaska,2100,Other opioids,T40.2,Suppressed,29897,Suppressed
Haines Borough,Alaska,2100,Methadone,T40.3,Suppressed,29897,Suppressed
Haines Borough,Alaska,2100,Other synthetic narcotics,T40.4,Suppressed,29897,Suppressed
Hoonah-Angoon Census Area,Alaska,2105,Heroin,T40.1,Suppressed,8438,Suppressed
Hoonah-Angoon Census Area,Alaska,2105,Other opioids,T40.2,Suppressed,8438,Suppressed
Hoonah-Angoon Census Area,Alaska,2105,Methadone,T40.3,Suppressed,8438,Suppressed
Hoonah-Angoon Census Area,Alaska,2105,Other synthetic narcotics,T40.4,Suppressed,8438,Suppressed
Juneau Borough,Alaska,2110,Heroin,T40.1,19,381836,Unreliable
Juneau Borough,Alaska,2110,Other opioids,T40.2,16,381836,Unreliable
Juneau Borough,Alaska,2110,Methadone,T40.3,12,381836,Unreliable
Juneau Borough,Alaska,2110,Other synthetic narcotics,T40.4,Suppressed,381836,Suppressed
Kenai Peninsula Borough,Alaska,2122,Heroin,T40.1,20,672375,3
Kenai Peninsula Borough,Alaska,2122,Other opioids,T40.2,52,672375,7.7
Kenai Peninsula Borough,Alaska,2122,Methadone,T40.3,21,672375,3.1
Kenai Peninsula Borough,Alaska,2122,Other synthetic narcotics,T40.4,14,672375,Unreliable
Ketchikan Gateway Borough,Alaska,2130,Heroin,T40.1,Suppressed,163129,Suppressed
Ketchikan Gateway Borough,Alaska,2130,Other opioids,T40.2,10,163129,Unreliable
Ketchikan Gateway Borough,Alaska,2130,Methadone,T40.3,Suppressed,163129,Suppressed
Ketchikan Gateway Borough,Alaska,2130,Other synthetic narcotics,T40.4,Suppressed,163129,Suppressed
Kodiak Island Borough,Alaska,2150,Heroin,T40.1,Suppressed,164003,Suppressed
Kodiak Island Borough,Alaska,2150,Other opioids,T40.2,Suppressed,164003,Suppressed
Kodiak Island Borough,Alaska,2150,Methadone,T40.3,Suppressed,164003,Suppressed
Kodiak Island Borough,Alaska,2150,Other synthetic narcotics,T40.4,Suppressed,164003,Suppressed
Lake and Peninsula Borough,Alaska,2164,Heroin,T40.1,Suppressed,19448,Suppressed
Lake and Peninsula Borough,Alaska,2164,Other opioids,T40.2,Suppressed,19448,Suppressed
Lake and Peninsula Borough,Alaska,2164,Methadone,T40.3,Suppressed,19448,Suppressed
Lake and Peninsula Borough,Alaska,2164,Other synthetic narcotics,T40.4,Suppressed,19448,Suppressed
Matanuska-Susitna Borough,Alaska,2170,Heroin,T40.1,24,1110931,2.2
Matanuska-Susitna Borough,Alaska,2170,Other opioids,T40.2,87,1110931,7.8
Matanuska-Susitna Borough,Alaska,2170,Methadone,T40.3,48,1110931,4.3
Matanuska-Susitna Borough,Alaska,2170,Other synthetic narcotics,T40.4,25,1110931,2.3
Nome Census Area,Alaska,2180,Heroin,T40.1,Suppressed,115681,Suppressed
Nome Census Area,Alaska,2180,Other opioids,T40.2,Suppressed,115681,Suppressed
Nome Census Area,Alaska,2180,Methadone,T40.3,Suppressed,115681,Suppressed
Nome Census Area,Alaska,2180,Other synthetic narcotics,T40.4,Suppressed,115681,Suppressed
North Slope Borough,Alaska,2185,Heroin,T40.1,Suppressed,111820,Suppressed
North Slope Borough,Alaska,2185,Other opioids,T40.2,Suppressed,111820,Suppressed
North Slope Borough,Alaska,2185,Methadone,T40.3,Suppressed,111820,Suppressed
North Slope Borough,Alaska,2185,Other synthetic narcotics,T40.4,Suppressed,111820,Suppressed
